ID	ALT_FREQS
A_101	0.193862
A_201	0.27247
A_205	0.0073736
A_206	0.00170782
A_301	0.144215
A_302	0.00105792
A_1101	0.0598137
A_2301	0.0168981
A_2402	0.0707909
A_2501	0.0146452
A_2601	0.0164902
A_2902	0.0424216
A_3001	0.0100537
A_3002	0.00970589
A_3101	0.0267282
A_3201	0.0345588
A_3301	0.00541648
A_3303	0.00173378
A_6601	0.0027733
A_6801	0.0300982
A_6802	0.00579726
B_702	0.147556
B_705	0.0012535
B_801	0.143992
B_1302	0.019088
B_1401	0.0114549
B_1402	0.0249359
B_1501	0.0598554
B_1517	0.00169676
B_1518	0.00106989
B_1801	0.0351258
B_2705	0.038658
B_3501	0.0430246
B_3502	0.00106342
B_3503	0.00734128
B_3701	0.0131148
B_3801	0.00682606
B_3901	0.00595524
B_3906	0.00658028
B_4001	0.0551985
B_4002	0.00761471
B_4101	0.00191049
B_4102	0.00332968
B_4402	0.111262
B_4403	0.0580061
B_4405	0.0011064
B_4501	0.00646964
B_4701	0.00306719
B_4901	0.0113313
B_5001	0.00836243
B_5101	0.0349974
B_5201	0.00485551
B_5301	0.00231787
B_5501	0.0181168
B_5601	0.00251816
B_5701	0.0389415
B_5801	0.00492409
C_102	0.0340163
C_202	0.0359766
C_302	0.00125469
C_303	0.0544804
C_304	0.0790198
C_401	0.0827525
C_501	0.113729
C_602	0.0893951
C_701	0.176449
C_702	0.157495
C_704	0.0174101
C_802	0.0358292
C_1202	0.00482576
C_1203	0.0282132
C_1402	0.00909725
C_1502	0.0167445
C_1601	0.0442385
C_1602	0.00164772
C_1701	0.00316159
DRB5_101	0.144083
DRB5_202	0.00659703
DRB5_9901	0.15275
DRB4_101	0.0759665
DRB4_103	0.248127
DRB4_9901	0.351427
DRB3_101	0.166817
DRB3_202	0.130056
DRB3_301	0.0373253
DRB3_9901	0.343993
DRB1_101	0.0907612
DRB1_102	0.00713542
DRB1_103	0.0164187
DRB1_301	0.148393
DRB1_401	0.106631
DRB1_402	0.00252099
DRB1_404	0.0382757
DRB1_405	0.00450066
DRB1_407	0.00155712
DRB1_701	0.144954
DRB1_801	0.0171091
DRB1_803	0.00238499
DRB1_901	0.0129652
DRB1_1001	0.00569702
DRB1_1101	0.0255954
DRB1_1102	0.00179386
DRB1_1103	0.00214197
DRB1_1104	0.00889098
DRB1_1201	0.0139291
DRB1_1301	0.0496283
DRB1_1302	0.0376786
DRB1_1303	0.00819925
DRB1_1401	0.0182921
DRB1_1501	0.143677
DRB1_1502	0.00409501
DRB1_1601	0.00500276
DQB1_201	0.149036
DQB1_202	0.0368893
DQB1_301	0.174329
DQB1_302	0.103653
DQB1_303	0.0522387
DQB1_304	0.00112723
DQB1_402	0.0198748
DQB1_501	0.120157
DQB1_502	0.00626832
DQB1_503	0.0216235
DQB1_504	0.00137475
DQB1_601	0.00411731
DQB1_602	0.13997
DQB1_603	0.0496332
DQB1_604	0.0273181
DQB1_609	0.00997279
DQA1_101	0.14141
DQA1_102	0.190153
DQA1_103	0.0541348
DQA1_201	0.144921
DQA1_301	0.202564
DQA1_401	0.0193452
DQA1_501	0.225694
DQA1_601	0.0024817
DPB1_101	0.0590202
DPB1_201	0.0965545
DPB1_202	0.00686643
DPB1_301	0.0692952
DPB1_401	0.424081
DPB1_402	0.102317
DPB1_501	0.0201753
DPB1_901	0.00195823
DPB1_1001	0.0146083
DPB1_1101	0.0260128
DPB1_1301	0.0144678
DPB1_1401	0.00683132
DPB1_1501	0.00688149
DPB1_1601	0.00170159
DPB1_1701	0.0110228
DPB1_1901	0.005231
DPA1_103	0.184565
DPA1_104	0.00468319
DPA1_201	0.145776
DPA1_202	0.0304553
