code,disease
cancer1022,colon cancer/sigmoid cancer
cancer1006,larynx/throat cancer
cancer1067,adrenal cancer
cancer1023,rectal cancer
cancer1024,liver/hepatocellular cancer
cancer1050,multiple myeloma
cancer1019,small intestine/small bowel cancer
cancer1087,fallopian tube cancer
cancer1002,breast cancer
cancer1003,skin cancer
cancer1085,bone metastases / bony secondaries
cancer1012,gum cancer
cancer1084,respiratory / intrathoracic cancer
cancer1038,male genital tract cancer
cancer1059,malignant melanoma
cancer1005,salivary gland cancer
cancer1068,sarcoma/fibrosarcoma
cancer1007,nasal cavity cancer
cancer1001,lung cancer
cancer1074,acute myeloid leukaemia
cancer1079,oropharynx / oropharyngeal cancer
cancer1010,lip cancer
cancer1052,hodgkins lymphoma / hodgkins disease
cancer1030,eye and/or adnexal cancer
cancer1017,oesophageal cancer
cancer1081,thymus cancer / malignant thymoma
cancer1009,sinus cancer
cancer1048,leukaemia
cancer1045,testicular cancer
cancer1042,vaginal cancer
cancer1076,kaposis sarcoma
cancer1026,pancreas cancer
cancer1039,ovarian cancer
cancer1082,heart / mediastinum cancer
cancer1004,cancer of lip/mouth/pharynx/oral cavity
cancer1033,spinal cord or cranial nerve cancer
cancer1077,mouth cancer
cancer1063,primary bone cancer
cancer1065,thyroid cancer
cancer1015,parotid gland cancer
cancer1029,peripheral nerve/autonomic nerve cancer
cancer1055,chronic lymphocytic
cancer1040,uterine/endometrial cancer
cancer1066,parathyroid cancer
cancer1041,cervical cancer
cancer1060,non-melanoma skin cancer
cancer1034,kidney/renal cell cancer
cancer1036,other cancer of urinary tract
cancer1032,brain cancer / primary malignant brain tumour
cancer1046,penis cancer
cancer1044,prostate cancer
cancer1008,ear cancer
cancer1035,bladder cancer
cancer1051,myelofibrosis or myelodysplasia
cancer1031,meningeal cancer / malignant meningioma
cancer1043,vulval cancer
cancer1018,stomach cancer
cancer1047,lymphoma
cancer1086,appendix cancer
cancer1088,malignant insulinoma
cancer1080,trachea cancer
cancer1075,retinoblastoma
cancer1053,non-hodgkins lymphoma
cancer1020,large bowel cancer/colorectal cancer
cancer1025,gallbladder/bile duct cancer
cancer1064,mesothelioma
cancer1037,female genital tract cancer
cancer1011,tongue cancer
cancer1056,chronic myeloid
