,DQA1_101,DPB1_401,DQB1_201,C_304,DRB4_101,DRB4_103,DRB1_301,DQB1_603,DQB1_602,B_2705,DRB1_401,DRB1_404,C_602,B_4403,DRB1_1301,DRB3_202,DRB3_101,DQB1_301,DQB1_302,DQB1_303,A_101,DQA1_301,C_202,DRB1_701,B_5701,C_102,C_401,DRB3_9901,DPA1_103,DQA1_501,DRB5_9901,DRB5_101,B_801,DQA1_201,DRB4_9901,A_301,B_702,C_1601,DRB1_101,DQA1_103,DQA1_102,DRB1_1501,DQB1_501,DPA1_201,C_701,C_702,B_4001,DPB1_101
HC136,,,0.0,,,,0.0,,,,,0.31195,,,,,,,0.0,,0.0,0.18741,,-0.06116,,,,,,,,,0.30956,-0.08812,,,,,,,,,,,0.0,,,
cancer1060,0.0,,,-0.0015757,,,,,,,,,,-0.0087044,,,,,-0.087969,,,,,-0.038861,,,,,,,,,,-0.0310141,0.0009267,,,,0.0,,,,0.1154888,,,,-0.1212693,
HC28,,0.157721,,,,,,,,,,,,,,,,,,-0.394895,,,,-0.007219,,,,,,,,,,0.0,,,,,,,,,,,,,,
HC25,,,0.01678,,,,0.01974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC22,,,0.05642,,,,0.03424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC422,0.0,,,,,,,,,2.2186,,,,,,,,,0.1408,,,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,
HC298,,,,,,,,,,,,,,,,-0.06015,,,,,,0.0701,,,,,,0.01786,,,,,,,,,,,,,,,,,,,,
HC170,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,-0.29186,,0.0,,,0.47596,,0.0,,,,,,,,,,0.0,,,
HC179,,,0.07578,,,,0.0519,,,,,,,,,,0.00216,,,,,,,,,,,,,0.0,,,0.0,,,,,,-0.02801,,,,,,0.0,,,
cancer1053,,,0.10902,,,,0.12892,,,,,,,,,,,,,,,,,,,,,,,,,,0.03598,,,,,,0.01204,,,,0.28028,,0.0,,,
cancer1055,-0.37248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08552,,,,,
HC17,,,0.3992,,,,0.0488,,,,,,,,,,,,0.5146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC201,0.001953,,,,,0.0,,,0.117278,,,-0.165585,,,,,,,-0.242817,,,-0.031812,,,,,,,,,,,,,0.014817,,,,,,,0.046269,0.0,,,,,
HC55,,,0.049719,,,,0.22457,,,,,,,,,,0.0,,,,,,,-0.132668,,,,0.001518,,0.175168,,,0.210063,-0.173823,0.0,,,,,,,,,,0.002008,,,
cancer1003,0.0,,,-0.002852,,,,,,,,,,-0.016597,,,,,-0.083754,,,,,-0.029297,,,,,,,,,,-0.033938,0.000614,,,,0.0,,,,0.106819,,,,-0.083344,
HC243,,,-0.04647,,,,-0.05646,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,
HC95,0.0,,,,,0.0,,,,,,-0.08719,,,,,,,-0.15841,,,-0.0476,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
HC96,,,,0.0,,0.0,,,,,0.3678,1.0669,,,,,,,0.0,,,0.0,,-0.147,,,,,,,,,,-0.1309,0.0,,,,,,,,,,,,0.0,
cancer1041,0.005424,,,,,0.0,,,,,0.0,,,,,,,,,,,0.166092,,,,,,0.020573,,,,0.081037,,,-0.044916,,,,0.0,,,0.104259,-0.048121,,,,,
cancer1047,,,0.06537,,,,0.08941,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.04846,,,,,,,,,,,,0.01465,,,
HC150,,,-0.07435,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19104,,,,,,,,,,,,,,,,,,
