,DQA1_101,DPB1_401,DQB1_201,DRB4_103,DRB1_301,DQB1_602,DRB3_202,DRB3_101,DQB1_301,A_101,DQA1_301,DRB1_701,DRB3_9901,DPA1_103,DQA1_501,DRB5_9901,DRB5_101,B_801,DQA1_201,DRB4_9901,A_301,B_702,DQA1_102,DRB1_1501,DPA1_201,C_701,C_702
HC136,,,0.0,,0.0,,,,,0.0,0.18741,-0.06116,,,,,,0.30956,-0.08812,,,,,,,0.0,
cancer1060,0.0,,,,,,,,,,,-0.038861,,,,,,,-0.0310141,0.0009267,,,,,,,
HC28,,0.157721,,,,,,,,,,-0.007219,,,,,,,0.0,,,,,,,,
HC25,,,0.01678,,0.01974,,,,,,,,,,,,,,,,,,,,,,
HC22,,,0.05642,,0.03424,,,,,,,,,,,,,,,,,,,,,,
HC422,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
HC298,,,,,,,-0.06015,,,,0.0701,,0.01786,,,,,,,,,,,,,,
HC170,,,0.0,,0.0,,,0.0,,,,,-0.29186,,0.0,,,0.47596,,0.0,,,,,,0.0,
HC179,,,0.07578,,0.0519,,,0.00216,,,,,,,0.0,,,0.0,,,,,,,,0.0,
cancer1053,,,0.10902,,0.12892,,,,,,,,,,,,,0.03598,,,,,,,,0.0,
cancer1055,-0.37248,,,,,,,,,,,,,,,,,,,,,,,,,,
HC17,,,0.3992,,0.0488,,,,,,,,,,,,,,,,,,,,,,
HC201,0.001953,,,0.0,,0.117278,,,,,-0.031812,,,,,,,,,0.014817,,,,0.046269,,,
HC55,,,0.049719,,0.22457,,,0.0,,,,-0.132668,0.001518,,0.175168,,,0.210063,-0.173823,0.0,,,,,,0.002008,
cancer1003,0.0,,,,,,,,,,,-0.029297,,,,,,,-0.033938,0.000614,,,,,,,
HC243,,,-0.04647,,-0.05646,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,
HC95,0.0,,,0.0,,,,,,,-0.0476,,,,,,,,,0.0,,,,,,,
HC96,,,,0.0,,,,,,,0.0,-0.147,,,,,,,-0.1309,0.0,,,,,,,
cancer1041,0.005424,,,0.0,,,,,,,0.166092,,0.020573,,,,0.081037,,,-0.044916,,,,0.104259,,,
cancer1047,,,0.06537,,0.08941,,,0.0,,,,,,,,,,0.04846,,,,,,,,0.01465,
HC150,,,-0.07435,,,,,,,,,,,,-0.19104,,,,,,,,,,,,
HC151,,,,-0.045768,,0.0,,,,,-0.006233,,,,,-0.015778,0.572957,,,0.178312,,-0.0078,0.0,0.271188,,,-0.008574
HC156,,,,0.0,,-0.01184,,,,,0.255107,,,,,0.010585,-0.018068,,,0.0,,,,-0.015193,,,
HC303,,,1.37342,,0.0,,,0.0,,-0.0124,,,0.02777,,0.0,,,0.36165,,,,,,,0.40366,0.0,
HC49,,,,,,,,,,,,0.0,,-0.020463,,,,,0.0,,,,,,,,
HC401,,,,,,,,,,-0.06929,,,,,,,,,,,0.02445,,,,,,
cancer1037,-0.007133,,,0.0,,,,,,,0.149193,,,,,,,,,0.0,,,,,,,
HC273,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,-0.036708,,,,,-0.003852
HC295,,,0.03427,,0.062561,,,0.004371,,0.0,,,,,,,,,,,,,,,,,
HC352,,,0.0,,0.0,,,0.0,,0.0,,,,,0.0,,,0.589,,,,,,,,0.0,
HC125,-0.002152,,0.072926,,0.05579,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,0.0,
HC85,,,,,,,,,,-0.0351,,,,,,,,-0.05174,,,,,,,,-0.07054,
HC38,,,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,
HC39,0.13567,,,,,-0.05686,,,,,,,,,,0.14838,-0.0728,,,,,,,-0.07051,,,
HC430,,,,0.0,,,,,,,0.0,-0.23452,0.18657,,,,,,-0.09393,0.0,,,-0.24899,,,,
HC432,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC221,,,,0.0,,-0.027,,,,,0.0,,,,,0.00552,-0.02532,,,0.0,,,0.0,-0.02855,,,
HC382,-0.12503,,,-0.04315,,,,,0.0,,0.05769,,,,,,,,,-0.01895,,,,,,,
HC91,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,
HC310,,,,,,,,,,0.0,,,,,,,,-0.047798,,,,,,,,-0.003039,
HC169,-0.2872,,,,,,,,,,,,,,,,,,,,,,,,,,
HC78,,,,0.0,,0.0,,,,,0.132974,,0.0,,,,-0.001628,,,0.0,,,0.0,-0.001973,,,
HC269,0.020553,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,-0.049954,,0.0,,,0.0
HC261,,,,,,,,,0.005703,,0.049132,-0.003543,,,,,,,-0.0125,,,,,,,,
HC321,,,0.0,,0.0,,,0.0,,0.0,,,,,0.0,,,0.5969,,,,,,,,0.0,
HC219,,,0.228611,,0.006314,0.0,,,0.182361,,0.13749,,,,0.0,,0.0,0.026795,,,,,-0.098843,0.0,,,
HC215,,,,,,-0.0083208,,,,,,,,,,0.0009062,-0.0028231,,,,,-0.0091725,,-0.0027175,,,-0.0033724
