,C_304,DRB4_101,DQB1_603,B_2705,DRB1_401,DRB1_404,C_602,B_4403,DRB1_1301,DQB1_302,DQB1_303,C_202,B_5701,C_102,C_401,C_1601,DRB1_101,DQA1_103,DQB1_501,B_4001,DPB1_101
HC136,,,,,,0.31195,,,,0.0,,,,,,,,,,,
cancer1060,-0.0015757,,,,,,,-0.0087044,,-0.087969,,,,,,,0.0,,0.1154888,-0.1212693,
HC28,,,,,,,,,,,-0.394895,,,,,,,,,,
HC25,,,,,,,,,,,,,,,,,,,,,
HC22,,,,,,,,,,,,,,,,,,,,,
HC422,,,,2.2186,,,,,,0.1408,,0.0,,0.0,,,0.0,,0.0,,
HC298,,,,,,,,,,,,,,,,,,,,,
HC170,,,,,,,,,,,,,,,,,,,,,
HC179,,,,,,,,,,,,,,,,,-0.02801,,,,
cancer1053,,,,,,,,,,,,,,,,,0.01204,,0.28028,,
cancer1055,,,,,,,,,,,,,,,,,,,-0.08552,,
HC17,,,,,,,,,,0.5146,,,,,,,,,,,
HC201,,,,,,-0.165585,,,,-0.242817,,,,,,,,,0.0,,
HC55,,,,,,,,,,,,,,,,,,,,,
cancer1003,-0.002852,,,,,,,-0.016597,,-0.083754,,,,,,,0.0,,0.106819,-0.083344,
HC243,,,,,,,,,,,,,,,,,,,,,
HC95,,,,,,-0.08719,,,,-0.15841,,,,,,,,,,,
HC96,0.0,,,,0.3678,1.0669,,,,0.0,,,,,,,,,,0.0,
cancer1041,,,,,0.0,,,,,,,,,,,,0.0,,-0.048121,,
cancer1047,,,,,,,,,,,,,,,,,,,,,
HC150,,,,,,,,,,,,,,,,,,,,,
HC151,,,,,,,,,,,,,,,,,,,,,
HC156,,,,,,0.002297,,,,0.0,,,,,,,,,,,
HC303,,,,,,,,,,,,,,,,,,,,,0.0
HC49,,0.046225,0.0,,,-0.18834,,0.055755,0.0,,,,,,,0.009421,,-0.145935,,,
HC401,,,,,,,,,,,,,,,,,,,,,
cancer1037,,,,,0.0,,,,,,,,,,,,-0.004359,,-0.034626,,
HC273,,,,,,,,,,,,,,,,,,,,,
HC295,,,,,,,,,,,,,,,,,,,,,
HC352,,,,,,,,,,,,,,,,,,,,,0.0
HC125,,,,,,,,,,,,,,,-0.015544,,-0.047818,,-0.001471,,
HC85,,,,,,,,,,,,,,,,,,,,,
HC38,,,,,,,1.02671,,,,0.0,,0.40316,,,,,,,,
HC39,,,,,,,,,,,,,,,,,,,0.15649,,
HC430,,,,,0.32715,0.28282,,,,0.0,,,,,,,,,,,
HC432,,,,,,,,,,,,,,,,,,,,,
HC221,,,,,0.0935,,,,,0.13497,,,,,,,,,,,
HC382,,,-0.07485,,0.12665,,,,,,,,,,,,0.0,-0.09092,0.0,,
HC91,,,,0.909,,,0.7912,,,,0.155,,0.2618,0.0,,,,,,,
HC310,,,,,,,,,,,,,,,,,,,,,
HC169,,,,,,,,,,,,,,,,,,,,,
HC78,,,,,0.0,,,,,0.0,,,,,,,,,,,
HC269,,,,,,,,,,,,,0.009776,,,,0.007559,,0.018567,,
HC261,,-0.123048,,,0.018463,,0.0,,,,0.0,,-0.211597,,,,,,,,
HC321,,,,,,,,,-0.761,,,,,,,,,,,,
HC219,,,,,,,,,,,,,,,,,,,,,
HC215,,,,,,,,,,,,,,,,,,,,,
