,C_304,DRB4_101,DQB1_603,B_2705,DRB1_401,DRB1_404,C_602,B_4403,DRB1_1301,DQB1_302,DQB1_303,C_202,B_5701,C_102,C_401,C_1601,DRB1_101,DQA1_103,DQB1_501,B_4001,DPB1_101
HC136,,,,,,0.06844,,,,0.0,,,,,,,,,,,
cancer1060,0.012134,,,,,,,0.029156,,0.023677,,,,,,,0.0,,0.017438,0.031409,
HC28,,,,,,,,,,,0.11608,,,,,,,,,,
HC25,,,,,,,,,,,,,,,,,,,,,
HC22,,,,,,,,,,,,,,,,,,,,,
HC422,,,,0.05264,,,,,,0.12158,,0.0,,0.0,,,0.0,,0.0,,
HC298,,,,,,,,,,,,,,,,,,,,,
HC170,,,,,,,,,,,,,,,,,,,,,
HC179,,,,,,,,,,,,,,,,,0.04727,,,,
cancer1053,,,,,,,,,,,,,,,,,0.05906,,0.07953,,
cancer1055,,,,,,,,,,,,,,,,,,,0.1852,,
HC17,,,,,,,,,,0.0754,,,,,,,,,,,
HC201,,,,,,0.22375,,,,0.16876,,,,,,,,,0.0,,
HC55,,,,,,,,,,,,,,,,,,,,,
cancer1003,0.014539,,,,,,,0.038014,,0.024096,,,,,,,0.0,,0.016614,0.044421,
HC243,,,,,,,,,,,,,,,,,,,,,
HC95,,,,,,0.15421,,,,0.13332,,,,,,,,,,,
HC96,0.0,,,,0.0593,0.07231,,,,0.0,,,,,,,,,,0.0,
cancer1041,,,,,0.0,,,,,,,,,,,,0.0,,0.11781,,
cancer1047,,,,,,,,,,,,,,,,,,,,,
HC150,,,,,,,,,,,,,,,,,,,,,
HC151,,,,,,,,,,,,,,,,,,,,,
HC156,,,,,,0.01937,,,,0.0,,,,,,,,,,,
HC303,,,,,,,,,,,,,,,,,,,,,0.0
HC49,,0.05147,0.0,,,0.02948,,0.05855,0.0,,,,,,,0.03182,,0.02464,,,
HC401,,,,,,,,,,,,,,,,,,,,,
cancer1037,,,,,0.0,,,,,,,,,,,,0.02235,,0.05653,,
HC273,,,,,,,,,,,,,,,,,,,,,
HC295,,,,,,,,,,,,,,,,,,,,,
HC352,,,,,,,,,,,,,,,,,,,,,0.0
HC125,,,,,,,,,,,,,,,0.032049,,0.042873,,0.009459,,
HC85,,,,,,,,,,,,,,,,,,,,,
HC38,,,,,,,0.04404,,,,0.0,,0.05127,,,,,,,,
HC39,,,,,,,,,,,,,,,,,,,0.1749,,
HC430,,,,,0.03309,0.05081,,,,0.0,,,,,,,,,,,
HC432,,,,,,,,,,,,,,,,,,,,,
HC221,,,,,0.01825,,,,,0.01956,,,,,,,,,,,
HC382,,,0.08483,,0.02519,,,,,,,,,,,,0.0,0.0823,0.0,,
HC91,,,,0.08919,,,0.09451,,,,0.19388,,0.24287,0.0,,,,,,,
HC310,,,,,,,,,,,,,,,,,,,,,
HC169,,,,,,,,,,,,,,,,,,,,,
HC78,,,,,0.0,,,,,0.0,,,,,,,,,,,
HC269,,,,,,,,,,,,,0.023142,,,,0.018835,,0.024683,,
HC261,,0.05685,,,0.03671,,0.0,,,,0.0,,0.05794,,,,,,,,
HC321,,,,,,,,,0.26759,,,,,,,,,,,,
HC219,,,,,,,,,,,,,,,,,,,,,
HC215,,,,,,,,,,,,,,,,,,,,,
