,C_304,DRB4_101,DQB1_603,B_2705,DRB1_401,DRB1_404,C_602,B_4403,DRB1_1301,DQB1_302,DQB1_303,C_202,B_5701,C_102,C_401,C_1601,DRB1_101,DQA1_103,DQB1_501,B_4001,DPB1_101
HC136,,,,,,0.999,,,,0.0,,,,,,,,,,,
cancer1060,0.018,,,,,,,0.072,,0.965,,,,,,,0.0,,0.983,0.965,
HC28,,,,,,,,,,,0.965,,,,,,,,,,
HC25,,,,,,,,,,,,,,,,,,,,,
HC22,,,,,,,,,,,,,,,,,,,,,
HC422,,,,1.0,,,,,,0.613,,0.0,,0.0,,,0.0,,0.0,,
HC298,,,,,,,,,,,,,,,,,,,,,
HC170,,,,,,,,,,,,,,,,,,,,,
HC179,,,,,,,,,,,,,,,,,0.284,,,,
cancer1053,,,,,,,,,,,,,,,,,0.042,,0.958,,
cancer1055,,,,,,,,,,,,,,,,,,,0.185,,
HC17,,,,,,,,,,1.0,,,,,,,,,,,
HC201,,,,,,0.254,,,,0.612,,,,,,,,,0.0,,
HC55,,,,,,,,,,,,,,,,,,,,,
cancer1003,0.0,,,,,,,0.097,,0.869,,,,,,,0.0,,0.869,0.754,
HC243,,,,,,,,,,,,,,,,,,,,,
HC95,,,,,,0.266,,,,0.608,,,,,,,,,,,
HC96,0.0,,,,1.0,1.0,,,,0.0,,,,,,,,,,0.0,
cancer1041,,,,,0.0,,,,,,,,,,,,0.0,,0.094,,
cancer1047,,,,,,,,,,,,,,,,,,,,,
HC150,,,,,,,,,,,,,,,,,,,,,
HC151,,,,,,,,,,,,,,,,,,,,,
HC156,,,,,,0.0,,,,0.0,,,,,,,,,,,
HC303,,,,,,,,,,,,,,,,,,,,,0.0
HC49,,0.413,0.0,,,0.917,,0.469,0.0,,,,,,,0.035,,0.917,,,
HC401,,,,,,,,,,,,,,,,,,,,,
cancer1037,,,,,0.0,,,,,,,,,,,,0.042,,0.298,,
HC273,,,,,,,,,,,,,,,,,,,,,
HC295,,,,,,,,,,,,,,,,,,,,,
HC352,,,,,,,,,,,,,,,,,,,,,0.0
HC125,,,,,,,,,,,,,,,0.094,,0.549,,0.0,,
HC85,,,,,,,,,,,,,,,,,,,,,
HC38,,,,,,,1.0,,,,0.0,,1.0,,,,,,,,
HC39,,,,,,,,,,,,,,,,,,,0.362,,
HC430,,,,,1.0,1.0,,,,0.0,,,,,,,,,,,
HC432,,,,,,,,,,,,,,,,,,,,,
HC221,,,,,1.0,,,,,1.0,,,,,,,,,,,
HC382,,,0.291,,0.749,,,,,,,,,,,,0.0,0.458,0.0,,
HC91,,,,1.0,,,1.0,,,,0.41,,0.566,0.0,,,,,,,
HC310,,,,,,,,,,,,,,,,,,,,,
HC169,,,,,,,,,,,,,,,,,,,,,
HC78,,,,,0.0,,,,,0.0,,,,,,,,,,,
HC269,,,,,,,,,,,,,0.145,,,,0.125,,0.381,,
HC261,,0.828,,,0.185,,0.0,,,,0.0,,0.881,,,,,,,,
HC321,,,,,,,,,0.952,,,,,,,,,,,,
HC219,,,,,,,,,,,,,,,,,,,,,
HC215,,,,,,,,,,,,,,,,,,,,,
