,DPA1_103,DPA1_104,DPA1_105,DPA1_201,DPA1_202,DPA1_301
HC0,,,0.0,,,
HC1,,,,,,
HC2,,,,,,
HC4,,,,,0.0,
HC5,,,,,,
HC6,,,,,,
HC7,,,,,,
HC8,,,,,,
HC9,,,,,,
HC11,,,,,,
HC12,,,,,,
HC13,,,,,,
HC14,,,,,,
HC15,0.0,,,,,
HC16,,,,,,
HC17,,,0.222,,,
HC18,,,,,,
HC19,,,,,,
HC21,,,,,,
HC22,,,,,,
HC23,,,,,,
HC24,,,,,,
HC25,,,,,,
HC26,,,,,,
HC27,,,,,,
HC28,,,,,,
HC30,,,,,,
HC31,,,,,,
HC32,,,,,,
HC33,,,,,,
HC34,,,,0.0,,0.0
HC35,,,,,,
HC36,,,,,,
HC37,,,,,,
HC38,,,,,,
HC39,,,,,,
HC40,,,,,,
HC41,,0.048,,,,
HC42,,,,,,
HC43,,,,,,
HC44,,,,,,
HC45,0.074,,,0.0,,
HC46,,,,,,
HC47,,,,,,
HC48,,,,,,
HC49,0.839,,,,,
HC50,,,,,,
HC51,,,,,,
HC52,,,,,,
HC53,,,,,,
HC54,,,,,,
HC55,,,,,,
HC56,,,,,,
HC57,,,,,,0.0
HC58,,,0.0,,0.0,
HC59,,,,,,
HC60,0.045,,,0.064,,
HC61,,,,,,
HC62,,,,,,
HC63,,,,,,
HC64,,,,,,
HC66,,,0.0,,,
HC67,,,,,,
HC68,,,,,,
HC69,,,,,,
HC70,,,,,,
HC71,,0.0,,,,
HC72,,,,,,
HC73,,,,,,
HC75,,,,,,
HC76,,,,,,
HC77,,,,,,
HC78,,,,,,
HC79,,,,,,
HC80,,,,,,
HC81,,,,,,
HC82,,,,,,
HC83,,,,,,
HC84,,,,,,
HC85,,,,,,
HC86,,,,,,
HC87,,,,,,
HC88,,,,,,
HC89,,,,,,
HC90,,,,,,
HC91,,,,,,
HC92,,,,,,
HC93,0.081,,,,0.0,
HC94,,,,,,
HC95,,,,,,
HC96,,,,,,
HC97,,,,,,
HC98,,,,,,
HC99,,,,,,
HC100,,,,,,
HC101,0.0,,,0.0,,
HC102,,,,,,0.0
HC103,,,,,,
HC104,,,,,,
HC105,,,,,,0.0
HC106,,,,,,
HC108,,,,,,
HC109,,,,,,
HC110,,,,,,
HC111,,,,,,
HC112,,,,,,
HC113,,,,,,
HC114,,,,,,
HC115,,,,,,
HC116,,,,,,
HC117,,,,,,0.0
HC118,,,,,,
HC119,,,,,,
HC120,,,,,,
HC121,,0.0,,,,
HC122,,,,,,
HC123,,,,,,
HC124,,,,,,
HC125,,,,,,
HC126,,,,,,
HC128,,,,,,
HC129,,,0.0,,,
HC130,,,,,,
HC131,,,,,0.0,0.0
HC132,,,,,,
HC133,,,,,,
HC134,,,,,,
HC135,0.0,,,0.0,,
HC136,,,,,,
HC137,,,,,,
HC138,,,,,,
HC139,,,,,,
HC140,,,0.0,,,
HC141,,,,,,
HC142,,,,,,
HC143,,,,,,
HC144,0.0,,,,,
HC145,,,,,,
HC146,,,,,,
HC147,,,,,,
HC148,,,,,,
HC149,,,,,,
HC150,,,,,,
HC151,,,,,,
HC152,,,,,,
HC153,,,,,,
HC154,,,,,,
HC155,,,,,,
HC156,,,,,,
HC157,,,,,,
HC158,,,,,,
HC159,,,,,,
HC160,,,0.0,,,
HC161,,,,,,
HC162,,,,,,
HC163,,,,,,
HC164,,,,,,
HC165,,,,,,
HC166,,,,,,
HC167,,,,,,0.0
HC169,,,,,,
HC170,,,,,,
HC171,,,,,,
HC172,,,,,,0.0
HC173,,,,,,
HC174,,,,,,
HC175,,,,,,
HC176,,,,,,
HC177,,,,,,
HC178,,,,,,
HC179,,,,,,
HC180,0.0,,,,,
HC181,,,,,,
HC182,,,,,,
HC183,,,,,,
HC184,,,,,,
HC185,,,,,,
HC186,,0.0,,,,
HC187,0.052,,,0.0,0.0,
HC188,,,,,,
HC189,,,0.0,,,
HC190,,,,,,
HC191,,,,,,
HC192,,,,,,
HC193,,,,,,
HC194,,,,,,
HC195,,,,,,
HC196,,,,,,0.0
HC197,,,,,,
HC198,,,,,,
HC199,,,,,,
HC200,,,0.0,,,
HC201,,,,,,
HC202,,,,,,
HC203,,,,,,
HC204,,,,,,
HC206,,,,,,
HC207,,,,,,
HC208,0.044,,,,,
HC209,,,,,,
HC210,,0.068,,,,
HC211,,,,0.0,,
HC212,,,,,,
HC213,,,,,,
HC214,,,,,,
HC215,,,,,,
HC216,,,,,,
HC217,,,,,,
HC218,,,,,,
HC219,,,,,,
HC220,,,,,,
HC221,,,,,,
HC222,,,,,,
HC223,,,,,,
HC224,,,,,,
HC225,,,,,,
HC226,,,,,,
HC227,,,,,,
HC228,,,,,,
HC229,,,,,,
HC230,,,,,,
HC231,,,,,,
HC233,,,,,,
HC234,,,,,,
HC235,,,,,,
HC237,,,,,,
HC238,,,,,,
HC239,,,,,,
HC240,,,,,,
HC241,,,,,,
HC242,,,,,,
HC243,,,,,,
HC244,,0.0,,,,
HC245,,,,,,
HC246,,,,,0.079,
HC247,,,,,,
HC248,,,,,,
HC249,,,,,,
HC250,,,,,0.0,
HC251,,,,,,
HC252,,,,,,
HC253,,,,,,
HC254,,,,,,
HC255,,,,,,
HC256,,,,,,
HC257,,,,,,0.0
HC258,,,,,,
HC259,,,,,,
HC260,,,,,,
HC261,,,,,,
HC262,,,,,,
HC263,,,,,,
HC264,,,,,,
HC265,,,,,,
HC266,,,,,,
HC267,,,,,,
HC268,0.0,,,0.0,,
HC269,,,,,,
HC270,,,0.0,,,
HC271,,,,,,
HC272,,,0.0,,,
HC273,,,,,,
HC274,,,,,,
HC275,,,,,0.0,
HC276,,0.0,,,,
HC277,,,,,,
HC278,,,,,,
HC279,,,,,,
HC280,,,,,,
HC281,,,,,,
HC282,,,,,,
HC283,,,,,,
HC284,,,,,,
HC285,,,,,,
HC286,,,,,,
HC287,,,,,,
HC288,,,,,,
HC289,,,,,,
HC290,,,,,,
HC292,,,,,,
HC293,0.0,0.0,0.0,,,
HC294,,,,,,
HC295,,,,,,
HC296,,,,,,
HC297,,,,,,
HC298,,,,,,
HC299,,,,,,0.0
HC300,,,,,,
HC301,,,,,,
HC302,0.0,,,,0.0,
HC303,,,,1.0,,
HC304,,,,,,
HC305,,,,,,
HC306,,,,,,
HC307,,,,,,
HC308,,,,,,
HC309,,,,,,
HC310,,,,,,
HC311,,,,,,
HC312,0.0,,,0.0,,
HC313,,,,,,
HC314,,,,,,
HC315,,,,,,
HC316,,,,,,
HC318,,,,,,
HC319,,,0.0,,,
HC320,,,,,,
HC321,,,,,,
HC322,,,,,,
HC323,,,,,,
HC324,,,,,,
HC325,,,0.0,,,
HC326,,,,,,
HC327,0.061,,,0.0,,
HC328,,0.119,,,,
HC329,,,,,,
HC330,,,,,,
HC331,,,,,,
HC332,,,,,,
HC333,,,,,,
HC334,,,,,,
HC335,,,,,,
HC336,,,,,,
HC337,,,,,,
HC338,,,,,,
HC339,,,0.0,,,
HC341,,,,,,
HC342,,,,,,
HC343,,,,,,
HC344,,0.0,0.043,,,
HC345,0.0,,,0.046,,
HC346,,0.339,,,,
HC347,,,,,,
HC348,,,,,,
HC349,,,0.0,0.0,,
HC350,,,,,,
HC351,,,,,,
HC352,,,,,,
HC353,0.0,,,0.0,,
HC354,0.0,,,,,
HC355,,,,,,
HC356,,,,,,
HC357,,,,,,
HC358,,,,,,
HC359,,,,,,
HC360,,,,,,
HC361,,,,,,
HC362,,,,,,
HC363,,,,,,
HC364,,,,,,
HC365,,,,,,
HC366,,,,,,
HC367,0.033,,,0.123,,
HC368,,,,,0.0,
HC369,,,,,,
HC370,,,,,,
HC371,,,,,,
HC373,,,,,,
HC374,,,0.0,,,
HC375,,,0.0,,,
HC376,,,,,,
HC377,,,,,,
HC378,,,,0.034,,
HC379,,,,,,
HC380,,,,,,
HC381,,,,0.0,,
HC382,,,,,,
HC383,,,,,,
HC384,0.0,,0.0,0.032,,
HC385,,,,,,
HC386,,,,,,
HC387,,,,,,
HC388,,,,,,
HC389,,,,,,0.029
HC390,,,,,,
HC391,,,,,,
HC392,,,,,,
HC393,,,,,,
HC394,,,,,,
HC395,,,,,,
HC396,,,,,,0.0
HC397,,,,,,
HC398,,,,,,
HC399,,,,,,
HC400,,,,,,
HC401,,,,,,
HC402,,,,,,
HC403,,,,,0.0,
HC404,0.0,,,,,
