,DRB3_101,DRB3_202,DRB3_210,DRB3_224,DRB3_301,DRB3_9901
HC0,,,,,,
HC1,,,,,,
HC2,,,,,,
HC4,,,,,,
HC5,0.444,,,,,
HC6,,0.056,,,,
HC7,,,,,,
HC8,,,,,,
HC9,,,,,,
HC11,,,,,0.0,
HC12,,,,0.0,,
HC13,,,,,,
HC14,,,,,0.0,
HC15,,,,,,
HC16,0.0,0.0,,,,
HC17,,,,,,
HC18,,,,,,
HC19,,0.0,,,,0.0
HC21,,,,,,
HC22,0.0,,,,,
HC23,,,,,,
HC24,,,,,,
HC25,,,,,,
HC26,,,,,,
HC27,,,,,,
HC28,,0.636,,,,
HC30,,,,,,
HC31,,,,,,
HC32,,,,,,0.0
HC33,,,,,,
HC34,,,,,,
HC35,,,,,,
HC36,0.0,,,,,0.0
HC37,,,,,,
HC38,,,,,,
HC39,,,,,,
HC40,,,,,,
HC41,,,,,,
HC42,,0.044,,,,
HC43,,,,,,
HC44,,,,,,
HC45,,,,,,
HC46,,,,,,
HC47,,,,,,
HC48,,,,,,
HC49,,,,,,
HC50,,,,,,
HC51,,,,,,
HC52,,,,,,
HC53,,,,,0.0,
HC54,,,,,,
HC55,0.0,,,,,0.0
HC56,,,,,,
HC57,,0.024,,,,
HC58,,,,,,
HC59,,,,,,
HC60,,,,,0.045,
HC61,,,,,,
HC62,0.034,,,,,0.0
HC63,0.0,,,,,
HC64,,,,,,
HC66,,,,,,
HC67,,,,,,
HC68,,,,,0.078,
HC69,,,,,0.0,
HC70,,,,,,
HC71,,,,,,
HC72,,,,,,
HC73,,,,,,
HC75,,,,,,
HC76,,,,,0.0,
HC77,,,,,,
HC78,,,,,,0.0
HC79,0.092,,,,,
HC80,,,,,0.0,
HC81,,,,,,
HC82,,,,,,
HC83,,,,,,
HC84,,,,,,
HC85,,,,,,
HC86,,,,,,
HC87,,,,,,
HC88,,,,,,
HC89,,,,,,
HC90,,,,,,0.233
HC91,,,,,,
HC92,,,,,,0.0
HC93,,,,,,
HC94,,,,,,
HC95,,,,,,
HC96,,,,,,
HC97,,,,,,
HC98,,,,,,
HC99,0.574,,,,,0.0
HC100,,,,,,
HC101,,,,,,
HC102,,,,,,
HC103,0.0,,,,,0.0
HC104,0.037,,,,,
HC105,,,,,,0.0
HC106,,,,,,
HC108,,,,,,
HC109,,,,,,
HC110,,,,,,
HC111,,,,,,
HC112,,0.029,,,,
HC113,,,,,,
HC114,,,,0.0,,
HC115,,,,,,
HC116,,,0.0,,,
HC117,,,,,,
HC118,,,,,,
HC119,,,,,,
HC120,0.0,,,,,
HC121,,,,,,0.063
HC122,,,,0.0,,
HC123,,,,,,
HC124,,,,,,
HC125,0.0,,,,,
HC126,,,,,,0.037
HC128,,,,,,
HC129,,,,,,
HC130,,,,,,
HC131,,,,0.0,,
HC132,,,,,,
HC133,0.0,,,,,
HC134,,,,,,
HC135,,,,,,
HC136,,,,,,
HC137,,0.0,,,,
HC138,,,,,,
HC139,,,,,,
HC140,,,,,,
HC141,0.0,,,,,
HC142,,,,,,
HC143,,,,,,
HC144,,,,,,
HC145,0.065,,,,,0.0
HC146,0.0,,,,,
HC147,,,,,,
HC148,,,,,,
HC149,,,,,,
HC150,,,,,,0.0
HC151,,,,,,
HC152,,,,,,
HC153,,,,,,
HC154,,,,,,
HC155,,,,,,
HC156,,,,,,
HC157,,,,0.0,,
HC158,,,,,,
HC159,,,,,,
HC160,,,,,,
HC161,,0.0,,,,
HC162,,,,,,
HC163,,,,,,
HC164,0.0,,,,,
HC165,,,,,,
HC166,,,,,,
HC167,,,,0.0,,
HC169,,,,,,
HC170,0.0,,,,,0.962
HC171,,,,,,
HC172,,,,,,
HC173,,,,,,
HC174,0.0,,,,,
HC175,,,,,,
HC176,0.0,,,,,
HC177,,,,0.0,,
HC178,,,,,,
HC179,0.0,,,,,
HC180,,,,,,
HC181,,,,,,
HC182,,,,,,0.0
HC183,,,,,,
HC184,,,,,,
HC185,0.033,,,,,
HC186,,,,,,
HC187,,,,,,
HC188,,,,,,
HC189,,,,,,
HC190,,,,,,
HC191,,,,,,
HC192,,,,,,
HC193,,,,,,
HC194,,,,,,
HC195,,,,,,
HC196,0.0,,,,,
HC197,,,,,,
HC198,0.072,,,,,
HC199,,,,,,
HC200,,,,,,
HC201,,,,,,
HC202,,,,,,
HC203,,,,,,
HC204,,,,,,
HC206,,,,,,
HC207,,,,,,
HC208,,,,,,
HC209,,,,,,
HC210,0.0,,,,,
HC211,,,,,,
HC212,,,,,,
HC213,0.0,,,0.088,,
HC214,,,,,,
HC215,,,,,,
HC216,,,,,,
HC217,,,,,,
HC218,,,,,,
HC219,,,,,,
HC220,,,,,,
HC221,,,,,,
HC222,0.035,,,,,
HC223,,,,,,
HC224,,,,,,
HC225,,,,,,
HC226,,,,,,
HC227,,,,,,
HC228,,0.0,,,,
HC229,,,,,,0.0
HC230,,,,,,
HC231,,,,,,
HC233,,,,,0.0,
HC234,,,0.0,,,
HC235,,,,,,
HC237,,,,,,
HC238,,,,,,
HC239,,,,,,
HC240,,,,0.138,,
HC241,,,,,,
HC242,,,,,,
HC243,0.0,,,,,0.0
HC244,,,,,,
HC245,0.0,,,,,
HC246,,,,,,
HC247,,,,,,
HC248,,,,,,
HC249,,,,,,
HC250,,,,,,
HC251,,,,,,
HC252,,,,,,
HC253,,,,,,
HC254,,,,,,
HC255,,,,0.0,,
HC256,,,,,,
HC257,,,,,,
HC258,,,,,,
HC259,,,,0.073,,
HC260,,,,,,
HC261,,,,,,
HC262,,,,,,
HC263,0.036,,,,,0.103
HC264,,,,,,
HC265,,,,,,
HC266,,,,,,
HC267,,,,,,
HC268,,,,,,
HC269,,,,,,
HC270,,,,,,
HC271,,,,,,
HC272,,,,,,
HC273,,,,,,
HC274,,0.026,,,,
HC275,,,,0.0,,
HC276,,,,,,
HC277,,,,,,
HC278,,,,,,
HC279,,,,,,
HC280,,,,,,
HC281,,,,,,
HC282,,0.0,,,,
HC283,,,,,,
HC284,,,,,,
HC285,,,,,,
HC286,,,,,,
HC287,,,,,,
HC288,,,,,,
HC289,,,,,,
HC290,,,,,,
HC292,,,,,0.062,
HC293,,,,,,
HC294,,,,,,0.0
HC295,0.0,,,,,
HC296,,,,,,
HC297,,,,,,
HC298,,0.082,,,,0.396
HC299,,,,,,
HC300,,,,,,
HC301,,,,,0.0,
HC302,0.068,,,,,0.159
HC303,0.0,,,,,0.192
HC304,,,,,,
HC305,,,,,,
HC306,,,,,,
HC307,,,,,,
HC308,,,,,,
HC309,,,,,,
HC310,0.0,,,,,
HC311,,,,,,
HC312,,,,,,
HC313,,,,0.0,,
HC314,,,,0.0,,
HC315,,,,,,
HC316,,,,,,
HC318,,,,,,
HC319,,,,,,
HC320,,,,,,
HC321,0.0,,,,,
HC322,,,,,0.371,
HC323,,,,,,
HC324,,,,,,
HC325,,,,,,
HC326,,,,,,0.0
HC327,,,,,,
HC328,,,,,,
HC329,,,,,,
HC330,,,,,,0.118
HC331,,,,,,
HC332,,,,,,
HC333,,,,,,
HC334,,,,,,
HC335,,,,,,
HC336,,,,,0.0,
HC337,,,,,,
HC338,,,,0.0,,
HC339,,,,,,
HC341,,,,,,
HC342,,,,,,
HC343,0.0,,,,,0.054
HC344,,,,,,
HC345,,,,,,
HC346,,0.0,,,,
HC347,,,,,,
HC348,,,,,,
HC349,,,,,,
HC350,,,,,,
HC351,,,,,,
HC352,0.0,,,,,
HC353,,,,,,
HC354,,,,,,
HC355,,,,,,
HC356,,,,,,
HC357,0.0,,,,,0.235
HC358,,,,,,
HC359,0.0,,,,,0.0
HC360,0.0,,,,,
HC361,,,,,,
HC362,,,,,,
HC363,,,,,,
HC364,,,,,,
HC365,,,,,,
HC366,,,,,,
HC367,,,,,,
HC368,,,,,,
HC369,,,,,,
HC370,0.0,,,,,
HC371,,,,,,
HC373,,,,,,
HC374,,,,,,
HC375,,,,,,
HC376,0.0,,,,,
HC377,,,,,,
HC378,,,,,,
HC379,,,,,,
HC380,,,,,,
HC381,,0.0,,,,
HC382,,,,,,
HC383,,,,,,
HC384,0.0,,,,,
HC385,0.0,,,,,
HC386,,,,,,
HC387,,,,,,
HC388,,,,,,
