,A_101,A_102,A_103,A_201,A_202,A_203,A_205,A_206,A_207,A_210,A_211,A_214,A_216,A_220,A_264,A_301,A_302,A_1101,A_1102,A_1103,A_2301,A_2402,A_2403,A_2404,A_2407,A_2410,A_2501,A_2601,A_2603,A_2608,A_2901,A_2902,A_3001,A_3002,A_3004,A_3101,A_3103,A_3104,A_3201,A_3301,A_3303,A_3401,A_3402,A_3601,A_4027,A_4386,A_6601,A_6602,A_6801,A_6802,A_6817,A_6901,A_7401,A_7403,A_8001,B_702,B_705,B_801,B_1301,B_1302,B_1401,B_1402,B_1501,B_1502,B_1503,B_1504,B_1505,B_1506,B_1507,B_1508,B_1509,B_1510,B_1511,B_1512,B_1513,B_1515,B_1516,B_1517,B_1518,B_1520,B_1521,B_1524,B_1525,B_1526,B_1527,B_1529,B_1530,B_1531,B_1537,B_1801,B_1802,B_1803,B_1804,B_2702,B_2703,B_2704,B_2705,B_2706,B_2707,B_3501,B_3502,B_3503,B_3504,B_3505,B_3508,B_3509,B_3510,B_3512,B_3517,B_3519,B_3520,B_3521,B_3522,B_3541,B_3543,B_3701,B_3801,B_3802,B_3901,B_3902,B_3903,B_3905,B_3906,B_3908,B_3909,B_3910,B_3911,B_3915,B_3924,B_4001,B_4002,B_4004,B_4006,B_4009,B_4010,B_4012,B_4101,B_4102,B_4104,B_4201,B_4402,B_4403,B_4404,B_4405,B_4407,B_4501,B_4601,B_4701,B_4801,B_4802,B_4803,B_4901,B_5001,B_5002,B_5101,B_5102,B_5105,B_5106,B_5107,B_5108,B_5123,B_5201,B_5301,B_5401,B_5501,B_5502,B_5601,B_5603,B_5604,B_5701,B_5702,B_5703,B_5801,B_5802,B_5901,B_6701,B_7020,B_7301,B_7801,B_8101,B_8201,B_8202,C_102,C_202,C_210,C_302,C_303,C_304,C_305,C_306,C_401,C_403,C_407,C_501,C_602,C_701,C_702,C_704,C_726,C_801,C_802,C_804,C_1202,C_1203,C_1402,C_1403,C_1502,C_1504,C_1505,C_1601,C_1602,C_1604,C_1701,C_1801,DRB5_101,DRB5_102,DRB5_202,DRB5_9901,DRB4_101,DRB4_103,DRB4_9901,DRB3_101,DRB3_202,DRB3_210,DRB3_224,DRB3_301,DRB3_9901,DRB1_101,DRB1_102,DRB1_103,DRB1_301,DRB1_302,DRB1_401,DRB1_402,DRB1_403,DRB1_404,DRB1_405,DRB1_406,DRB1_407,DRB1_408,DRB1_410,DRB1_411,DRB1_701,DRB1_801,DRB1_802,DRB1_803,DRB1_804,DRB1_806,DRB1_807,DRB1_810,DRB1_811,DRB1_901,DRB1_1001,DRB1_1101,DRB1_1102,DRB1_1103,DRB1_1104,DRB1_1106,DRB1_1111,DRB1_1143,DRB1_1201,DRB1_1202,DRB1_1301,DRB1_1302,DRB1_1303,DRB1_1304,DRB1_1305,DRB1_1312,DRB1_1315,DRB1_1321,DRB1_1401,DRB1_1402,DRB1_1403,DRB1_1404,DRB1_1405,DRB1_1406,DRB1_1407,DRB1_1409,DRB1_1410,DRB1_1415,DRB1_1444,DRB1_1501,DRB1_1502,DRB1_1503,DRB1_1601,DRB1_1602,DQB1_201,DQB1_202,DQB1_301,DQB1_302,DQB1_303,DQB1_304,DQB1_401,DQB1_402,DQB1_501,DQB1_502,DQB1_503,DQB1_504,DQB1_601,DQB1_602,DQB1_603,DQB1_604,DQB1_605,DQB1_609,DQA1_101,DQA1_102,DQA1_103,DQA1_104,DQA1_201,DQA1_301,DQA1_302,DQA1_303,DQA1_401,DQA1_501,DQA1_503,DQA1_505,DQA1_509,DQA1_601,DPB1_101,DPB1_201,DPB1_202,DPB1_301,DPB1_401,DPB1_402,DPB1_501,DPB1_502,DPB1_601,DPB1_901,DPB1_902,DPB1_1001,DPB1_1101,DPB1_1301,DPB1_1401,DPB1_1501,DPB1_1601,DPB1_1701,DPB1_1801,DPB1_1901,DPB1_2001,DPB1_2101,DPB1_2201,DPB1_2301,DPB1_2601,DPB1_2801,DPB1_3001,DPB1_3101,DPB1_3301,DPB1_3401,DPB1_3501,DPB1_4001,DPB1_4501,DPB1_4801,DPB1_8101,DPB1_8501,DPA1_103,DPA1_104,DPA1_105,DPA1_107,DPA1_201,DPA1_202,DPA1_301,DPA1_401
1022,35139.0,,,34777.0,35179.0,,35186.0,,,,,,,,,35122.0,35177.0,35159.0,,,35178.0,34914.0,,,,,34927.0,34975.0,,,,35184.0,35185.0,35187.0,35185.0,35176.0,,,35184.0,35181.0,35176.0,,,,,,35188.0,,35128.0,35186.0,,,,,,35036.0,,35105.0,,35142.0,35166.0,35166.0,34754.0,,,,,,,,,35179.0,,,,,,35178.0,35031.0,,,,,,,,,,,35035.0,,,,35112.0,,,35053.0,,,34753.0,,35048.0,,,35049.0,,,,,,,,,,,35145.0,35139.0,,35019.0,,,,35145.0,,,,,,,35068.0,35108.0,,,,,,35184.0,35188.0,,,35008.0,35062.0,,,,35182.0,,35185.0,,,,35173.0,35169.0,,35017.0,,,,,,,35173.0,,,35165.0,,35112.0,,,35151.0,,,35137.0,,,,,,,,,,35169.0,35130.0,,,34987.0,34999.0,,,35185.0,,,35142.0,35175.0,35147.0,35137.0,35168.0,,,35183.0,,35188.0,35188.0,35158.0,,35092.0,,,35184.0,35183.0,,35029.0,,35137.0,,35139.0,34785.0,34507.0,33832.0,34813.0,35076.0,34810.0,,,35108.0,34709.0,34895.0,35186.0,35097.0,35145.0,,34121.0,35139.0,,34698.0,35132.0,,,,,,35089.0,35100.0,,35178.0,,,,,,35129.0,35185.0,34257.0,35167.0,35088.0,35005.0,,,,35068.0,,35037.0,35121.0,35170.0,,,,,,35021.0,,,,,,,,,,,35032.0,35188.0,,35126.0,,35062.0,30725.0,34985.0,35176.0,35162.0,,,35167.0,35156.0,35154.0,35185.0,,35187.0,34889.0,34959.0,35131.0,,35156.0,35128.0,35050.0,35060.0,,35111.0,34969.0,,,35182.0,34451.0,,,,35186.0,35133.0,33668.0,35073.0,31880.0,32600.0,34670.0,35131.0,,,34824.0,,34982.0,35173.0,35087.0,34847.0,35079.0,,35160.0,,35188.0,,,,,,,,,,,,,,,,,35052.0,35097.0,,,35052.0,35114.0,,
1006,5345.2,,,5200.6,5345.4,,5345.2,,,,,,,,,5344.1,5344.6,5342.1,,,5345.9,5265.7,,,,,5259.3,5318.2,,,,5342.2,5346.3,5344.9,5345.2,5345.1,,,5344.8,5346.4,5346.4,,,,,,5346.5,,5330.6,5338.0,,,,,,5321.4,,5344.7,,5345.1,5345.7,5344.8,5281.0,,,,,,,,,5346.2,,,,,,5339.7,5301.5,,,,,,,,,,,5342.8,,,,5343.8,,,5326.1,,,5246.1,,5331.3,,,5331.6,,,,,,,,,,,5327.8,5331.6,,5273.4,,,,5341.6,,,,,,,5344.5,5329.0,,,,,,5346.3,5346.2,,,5341.9,5330.7,,,,5346.1,,5345.5,,,,5345.9,5344.0,,5255.0,,,,,,,5345.8,,,5345.6,,5320.6,,,5332.3,,,5346.0,,,,,,,,,,5345.8,5344.9,,,5330.3,5340.4,,,5345.4,,,5344.5,5332.6,5342.7,5344.9,5344.3,,,5344.4,,5346.4,5345.3,5333.2,,5344.5,,,5343.7,5346.0,,5318.5,,5321.9,,5343.7,5299.0,5253.0,5084.1,5264.7,5342.8,5291.3,,,5318.4,5295.2,5299.1,5345.0,5343.8,5340.1,,5119.9,5342.2,,5277.7,5329.4,,,,,,5326.3,5344.1,,5346.0,,,,,,5345.7,5345.1,5179.2,5345.7,5343.7,5244.1,,,,5330.5,,5341.0,5335.0,5332.3,,,,,,5304.7,,,,,,,,,,,5330.3,5346.1,,5344.5,,5328.9,4440.5,5271.4,5343.3,5328.8,,,5345.6,5342.8,5343.7,5343.6,,5346.1,5283.1,5275.3,5344.8,,5334.6,5341.1,5328.7,5340.7,,5340.5,5293.5,,,5345.7,5207.2,,,,5345.9,5342.3,5143.8,5344.7,4872.8,4824.6,5264.0,5345.0,,,5320.9,,5316.8,5342.0,5333.5,5295.6,5342.7,,5346.0,,5343.8,,,,,,,,,,,,,,,,,5329.5,5342.4,,,5331.7,5344.4,,
1067,1081.8,,,1079.6,1078.6,,1080.4,,,,,,,,,1081.8,1079.4,1081.2,,,1081.5,1073.3,,,,,1081.0,1045.8,,,,1081.8,1079.7,1081.3,1081.8,1081.9,,,1081.4,1080.8,1081.6,,,,,,1081.4,,1080.9,1081.8,,,,,,1078.9,,1077.9,,1081.8,1062.3,1080.5,1024.2,,,,,,,,,1082.0,,,,,,1081.6,1081.3,,,,,,,,,,,1081.2,,,,1081.6,,,1081.4,,,1044.9,,1081.6,,,1081.6,,,,,,,,,,,1080.5,1080.2,,1081.2,,,,1080.3,,,,,,,1079.5,1080.0,,,,,,1081.6,1081.3,,,1080.1,1080.5,,,,1081.9,,1081.2,,,,1081.9,1080.1,,1081.1,,,,,,,1081.6,,,1078.4,,1081.0,,,1081.4,,,1080.8,,,,,,,,,,1081.0,1080.6,,,1062.1,1077.6,,,1081.3,,,1080.5,1080.9,1081.5,1079.0,1082.0,,,1061.7,,1081.7,1081.9,1081.2,,1081.7,,,1081.7,1081.6,,1064.2,,1076.0,,1080.4,1042.5,1076.5,1053.0,1057.6,1081.5,1079.8,,,1079.7,1061.9,1078.6,1080.7,1081.4,1081.8,,1078.6,1081.3,,1079.8,1080.9,,,,,,1081.0,1079.7,,1081.5,,,,,,1081.8,1080.8,1026.2,1080.4,1081.1,1079.0,,,,1078.6,,1064.1,1079.8,1082.0,,,,,,1081.0,,,,,,,,,,,1056.5,1081.5,,1081.6,,1081.5,981.14,1062.9,1081.7,1081.6,,,1080.6,1079.9,1080.4,1081.7,,1081.5,1076.7,1080.4,1077.5,,1079.8,1079.0,1080.1,1080.5,,1081.0,1079.3,,,1080.5,1079.3,,,,1081.5,1081.2,1003.2,1077.9,948.81,983.56,1059.2,1077.4,,,1080.4,,1063.4,1076.1,1079.1,1079.6,1080.3,,1081.9,,1080.9,,,,,,,,,,,,,,,,,1055.3,1080.8,,,1076.5,1075.0,,
1023,23901.0,,,23656.0,23936.0,,23936.0,,,,,,,,,23921.0,23934.0,23912.0,,,23936.0,23784.0,,,,,23745.0,23836.0,,,,23934.0,23935.0,23933.0,23936.0,23926.0,,,23934.0,23937.0,23937.0,,,,,,23936.0,,23904.0,23937.0,,,,,,23889.0,,23894.0,,23892.0,23934.0,23923.0,23628.0,,,,,,,,,23924.0,,,,,,23937.0,23830.0,,,,,,,,,,,23831.0,,,,23866.0,,,23827.0,,,23658.0,,23867.0,,,23887.0,,,,,,,,,,,23882.0,23887.0,,23825.0,,,,23912.0,,,,,,,23887.0,23857.0,,,,,,23936.0,23937.0,,,23894.0,23874.0,,,,23933.0,,23936.0,,,,23933.0,23936.0,,23829.0,,,,,,,23911.0,,,23912.0,,23872.0,,,23900.0,,,23893.0,,,,,,,,,,23926.0,23907.0,,,23823.0,23798.0,,,23922.0,,,23903.0,23923.0,23932.0,23903.0,23936.0,,,23924.0,,23936.0,23936.0,23923.0,,23862.0,,,23935.0,23929.0,,23857.0,,23920.0,,23922.0,23711.0,23445.0,23085.0,23541.0,23862.0,23602.0,,,23883.0,23662.0,23767.0,23936.0,23893.0,23909.0,,23204.0,23913.0,,23634.0,23912.0,,,,,,23844.0,23889.0,,23926.0,,,,,,23895.0,23937.0,23262.0,23926.0,23884.0,23730.0,,,,23861.0,,23885.0,23905.0,23936.0,,,,,,23841.0,,,,,,,,,,,23822.0,23934.0,,23911.0,,23827.0,20585.0,23775.0,23907.0,23906.0,,,23935.0,23924.0,23922.0,23935.0,,23934.0,23713.0,23832.0,23907.0,,23925.0,23903.0,23857.0,23873.0,,23885.0,23777.0,,,23923.0,23454.0,,,,23936.0,23919.0,22893.0,23871.0,21640.0,22031.0,23610.0,23896.0,,,23655.0,,23829.0,23933.0,23890.0,23684.0,23906.0,,23917.0,,23937.0,,,,,,,,,,,,,,,,,23856.0,23904.0,,,23898.0,23866.0,,
1024,6508.7,,,6376.5,6521.9,,6524.2,,,,,,,,,6508.2,6533.9,6518.9,,,6537.0,6516.1,,,,,6516.4,6476.5,,,,6530.2,6530.7,6537.1,6537.3,6535.8,,,6534.7,6536.3,6536.1,,,,,,6537.2,,6534.6,6537.1,,,,,,6534.0,,6519.5,,6526.2,6535.6,6535.7,6422.2,,,,,,,,,6534.4,,,,,,6537.0,6475.1,,,,,,,,,,,6480.9,,,,6534.0,,,6532.2,,,6475.9,,6520.2,,,6531.2,,,,,,,,,,,6509.2,6505.9,,6519.7,,,,6536.6,,,,,,,6520.0,6520.9,,,,,,6533.9,6535.5,,,6507.9,6490.3,,,,6533.8,,6536.7,,,,6536.2,6536.5,,6506.9,,,,,,,6536.1,,,6534.7,,6503.8,,,6519.9,,,6536.7,,,,,,,,,,6536.2,6536.3,,,6506.2,6491.6,,,6535.0,,,6533.2,6534.4,6533.1,6518.7,6532.9,,,6535.6,,6536.9,6534.6,6536.7,,6510.6,,,6534.3,6537.1,,6515.5,,6521.2,,6520.3,6476.7,6370.0,6332.5,6387.8,6535.0,6486.8,,,6523.1,6402.2,6493.1,6537.2,6521.1,6492.8,,6267.3,6536.0,,6442.4,6521.9,,,,,,6511.5,6534.5,,6536.8,,,,,,6522.2,6537.2,6418.4,6536.7,6497.7,6453.5,,,,6507.2,,6521.4,6535.7,6535.4,,,,,,6504.3,,,,,,,,,,,6492.5,6537.1,,6521.0,,6506.8,5463.0,6441.5,6522.4,6534.3,,,6536.5,6530.2,6534.2,6533.8,,6537.1,6501.5,6481.3,6534.5,,6536.7,6527.2,6484.5,6521.3,,6512.7,6531.9,,,6536.5,6443.0,,,,6525.3,6521.6,6278.0,6511.1,5864.1,6037.6,6461.2,6535.4,,,6475.5,,6491.8,6532.7,6523.2,6464.9,6535.7,,6533.9,,6535.5,,,,,,,,,,,,,,,,,6506.7,6535.3,,,6533.7,6521.6,,
1050,7350.4,,,7199.3,7352.9,,7353.3,,,,,,,,,7324.5,7351.8,7350.2,,,7353.8,7254.0,,,,,7297.4,7306.6,,,,7352.5,7352.8,7353.7,7352.6,7351.8,,,7327.5,7353.9,7354.3,,,,,,7354.2,,7340.9,7354.3,,,,,,7345.9,,7350.4,,7351.9,7353.8,7352.2,7254.1,,,,,,,,,7354.0,,,,,,7354.0,7347.6,,,,,,,,,,,7334.9,,,,7323.1,,,7323.8,,,7255.1,,7338.4,,,7352.0,,,,,,,,,,,7351.7,7326.5,,7281.3,,,,7353.4,,,,,,,7350.4,7349.5,,,,,,7350.6,7353.7,,,7310.0,7334.8,,,,7354.0,,7342.5,,,,7351.7,7354.0,,7328.8,,,,,,,7322.6,,,7353.1,,7290.4,,,7351.3,,,7339.6,,,,,,,,,,7351.9,7351.1,,,7309.3,7337.6,,,7350.4,,,7350.9,7339.9,7325.5,7325.2,7353.4,,,7341.0,,7352.7,7353.5,7349.5,,7351.6,,,7352.9,7354.1,,7335.3,,7337.8,,7337.8,7226.8,7158.6,7044.7,7255.5,7322.5,7305.5,,,7337.8,7238.7,7279.6,7353.6,7339.6,7337.5,,7134.1,7341.0,,7286.6,7352.8,,,,,,7351.6,7326.7,,7354.2,,,,,,7353.0,7352.6,7191.5,7353.6,7323.3,7281.4,,,,7351.6,,7346.9,7340.0,7353.9,,,,,,7307.6,,,,,,,,,,,7322.2,7353.5,,7326.2,,7321.9,6349.8,7278.7,7352.5,7353.1,,,7353.3,7340.5,7336.9,7353.3,,7353.5,7279.6,7292.4,7340.8,,7353.7,7325.4,7348.6,7347.0,,7327.2,7297.2,,,7353.5,7269.2,,,,7354.1,7351.4,7044.0,7352.4,6809.2,6779.2,7297.4,7351.8,,,7304.5,,7301.9,7352.7,7351.3,7298.5,7352.1,,7339.6,,7351.9,,,,,,,,,,,,,,,,,7336.8,7352.1,,,7351.9,7351.9,,
1019,5050.2,,,4997.7,5078.9,,5066.9,,,,,,,,,5078.5,5078.2,5076.0,,,5079.6,5029.8,,,,,5033.3,5042.3,,,,5078.5,5079.4,5079.7,5078.7,5079.1,,,5078.8,5079.8,5079.8,,,,,,5079.8,,5077.9,5079.5,,,,,,5047.4,,5064.8,,5077.0,5068.2,5062.1,5007.1,,,,,,,,,5079.6,,,,,,5077.6,5048.2,,,,,,,,,,,5076.2,,,,5077.6,,,5050.5,,,5014.4,,5075.5,,,5077.3,,,,,,,,,,,5078.2,5059.4,,5063.1,,,,5066.9,,,,,,,5017.8,5062.7,,,,,,5077.4,5075.4,,,5050.8,5076.9,,,,5078.1,,5079.4,,,,5079.1,5079.2,,5061.6,,,,,,,5078.3,,,5078.9,,5076.1,,,5076.5,,,5079.4,,,,,,,,,,5079.0,5065.0,,,5049.6,5076.7,,,5075.0,,,5078.4,5078.5,5076.9,5062.9,5079.4,,,5075.8,,5078.9,5077.6,5078.9,,5077.3,,,5077.9,5079.2,,5062.0,,5077.5,,5079.1,5016.8,5010.5,4796.9,4956.3,5073.8,5025.5,,,5075.0,5003.0,5004.1,5077.8,5077.2,5076.7,,4988.5,5078.9,,5019.8,5077.0,,,,,,5076.9,5047.4,,5076.6,,,,,,5065.0,5078.8,4987.5,5079.6,5077.2,5060.7,,,,5077.5,,5074.4,5075.4,5079.3,,,,,,5061.4,,,,,,,,,,,5009.1,5079.2,,5078.8,,5059.5,4386.3,5063.0,5078.8,5069.2,,,5075.3,5065.6,5078.9,5076.3,,5079.2,5032.5,5072.0,5076.8,,5078.2,5078.9,5061.8,5062.1,,5033.1,5049.6,,,5075.6,5014.5,,,,5076.4,5053.3,4909.7,5066.7,4523.0,4754.6,5024.2,5078.4,,,5046.1,,5067.5,5078.8,5078.1,5074.1,5075.3,,5078.8,,5077.6,,,,,,,,,,,,,,,,,5059.7,5078.1,,,5075.0,5066.2,,
1087,822.64,,,823.35,825.04,,824.98,,,,,,,,,819.43,824.95,824.52,,,822.1,823.1,,,,,807.44,821.58,,,,824.9,825.15,823.44,822.0,820.29,,,823.28,824.19,824.89,,,,,,823.9,,824.92,824.17,,,,,,791.31,,822.76,,824.95,823.17,824.34,822.69,,,,,,,,,825.15,,,,,,823.15,821.78,,,,,,,,,,,822.79,,,,824.87,,,817.88,,,823.86,,799.85,,,824.82,,,,,,,,,,,825.04,823.72,,823.58,,,,823.96,,,,,,,824.69,824.8,,,,,,823.44,824.56,,,809.1,823.7,,,,824.02,,824.66,,,,825.12,825.04,,822.04,,,,,,,824.22,,,822.2,,824.35,,,822.66,,,824.25,,,,,,,,,,823.3,824.5,,,824.03,824.17,,,824.28,,,823.83,823.54,821.91,813.69,823.97,,,824.66,,824.31,824.17,823.92,,824.73,,,824.79,824.89,,823.82,,821.22,,823.89,804.48,818.53,768.37,800.99,822.3,806.3,,,824.74,792.97,806.31,823.88,822.24,810.53,,820.62,824.61,,823.22,824.33,,,,,,820.85,808.52,,824.74,,,,,,825.06,824.77,775.4,818.73,823.09,789.84,,,,824.89,,801.66,824.81,823.72,,,,,,824.41,,,,,,,,,,,821.28,824.45,,824.57,,824.69,779.32,824.08,823.8,824.39,,,825.08,808.53,809.49,824.52,,824.44,805.38,815.52,824.12,,825.1,824.86,823.21,822.72,,820.87,820.84,,,825.05,819.17,,,,824.71,824.42,788.47,823.03,816.0,783.97,808.5,824.96,,,807.0,,822.16,824.16,824.98,823.2,823.86,,825.14,,824.22,,,,,,,,,,,,,,,,,822.78,824.19,,,823.17,823.6,,
1002,83609.0,,,82474.0,83667.0,,83671.0,,,,,,,,,83553.0,83631.0,83564.0,,,83671.0,82999.0,,,,,83134.0,83097.0,,,,83669.0,83684.0,83666.0,83686.0,83656.0,,,83655.0,83676.0,83686.0,,,,,,83683.0,,83570.0,83686.0,,,,,,83398.0,,83541.0,,83589.0,83634.0,83584.0,82713.0,,,,,,,,,83682.0,,,,,,83668.0,83286.0,,,,,,,,,,,83254.0,,,,83483.0,,,83256.0,,,82601.0,,83420.0,,,83521.0,,,,,,,,,,,83580.0,83487.0,,83180.0,,,,83622.0,,,,,,,83522.0,83477.0,,,,,,83673.0,83685.0,,,83237.0,83415.0,,,,83669.0,,83672.0,,,,83638.0,83644.0,,83095.0,,,,,,,83606.0,,,83579.0,,83321.0,,,83601.0,,,83660.0,,,,,,,,,,83663.0,83636.0,,,83340.0,83378.0,,,83661.0,,,83587.0,83616.0,83596.0,83528.0,83684.0,,,83627.0,,83686.0,83668.0,83666.0,,83488.0,,,83635.0,83665.0,,83237.0,,83524.0,,83614.0,82828.0,81876.0,80448.0,82296.0,83488.0,82711.0,,,83558.0,82652.0,82951.0,83674.0,83515.0,83567.0,,81339.0,83566.0,,82810.0,83569.0,,,,,,83491.0,83422.0,,83674.0,,,,,,83612.0,83682.0,81367.0,83640.0,83336.0,82982.0,,,,83451.0,,83417.0,83611.0,83670.0,,,,,,83310.0,,,,,,,,,,,83331.0,83684.0,,83562.0,,83319.0,71923.0,83183.0,83649.0,83637.0,,,83656.0,83618.0,83576.0,83665.0,,83676.0,82821.0,83118.0,83578.0,,83640.0,83577.0,83348.0,83500.0,,83463.0,83208.0,,,83656.0,81944.0,,,,83675.0,83452.0,80464.0,83544.0,75967.0,76969.0,82358.0,83548.0,,,82805.0,,83284.0,83615.0,83555.0,82959.0,83530.0,,83664.0,,83668.0,,,,,,,,,,,,,,,,,83420.0,83488.0,,,83537.0,83548.0,,
1003,141598.0,,,139674.0,141800.0,,141803.0,,,,,,,,,141641.0,141751.0,141514.0,,,141792.0,140792.0,,,,,140899.0,140813.0,,,,141778.0,141803.0,141802.0,141812.0,141728.0,,,141726.0,141796.0,141791.0,,,,,,141810.0,,141619.0,141805.0,,,,,,141345.0,,141455.0,,141662.0,141743.0,141694.0,140145.0,,,,,,,,,141780.0,,,,,,141804.0,141217.0,,,,,,,,,,,141270.0,,,,141492.0,,,141171.0,,,140065.0,,141320.0,,,141464.0,,,,,,,,,,,141608.0,141448.0,,140947.0,,,,141723.0,,,,,,,141514.0,141409.0,,,,,,141760.0,141796.0,,,140996.0,141390.0,,,,141755.0,,141783.0,,,,141736.0,141782.0,,140800.0,,,,,,,141626.0,,,141699.0,,141234.0,,,141672.0,,,141708.0,,,,,,,,,,141780.0,141682.0,,,141126.0,141113.0,,,141743.0,,,141635.0,141720.0,141633.0,141522.0,141792.0,,,141709.0,,141813.0,141793.0,141740.0,,141428.0,,,141742.0,141798.0,,141141.0,,141498.0,,141693.0,140193.0,138756.0,136568.0,139561.0,141438.0,140137.0,,,141588.0,139842.0,140342.0,141794.0,141445.0,141587.0,,137735.0,141664.0,,140313.0,141591.0,,,,,,141376.0,141403.0,,141786.0,,,,,,141682.0,141798.0,137431.0,141737.0,141250.0,140592.0,,,,141505.0,,141456.0,141695.0,141790.0,,,,,,141164.0,,,,,,,,,,,141205.0,141798.0,,141593.0,,141209.0,123339.0,140996.0,141723.0,141713.0,,,141765.0,141620.0,141596.0,141744.0,,141789.0,140399.0,140880.0,141646.0,,141744.0,141556.0,141201.0,141474.0,,141436.0,140867.0,,,141729.0,138938.0,,,,141764.0,141495.0,136125.0,141522.0,128084.0,130592.0,139475.0,141576.0,,,140172.0,,140997.0,141629.0,141624.0,140683.0,141561.0,,141752.0,,141796.0,,,,,,,,,,,,,,,,,141219.0,141479.0,,,141527.0,141591.0,,
