,A_101,A_102,A_103,A_201,A_202,A_203,A_205,A_206,A_207,A_210,A_211,A_214,A_216,A_220,A_264,A_301,A_302,A_1101,A_1102,A_1103,A_2301,A_2402,A_2403,A_2404,A_2407,A_2410,A_2501,A_2601,A_2603,A_2608,A_2901,A_2902,A_3001,A_3002,A_3004,A_3101,A_3103,A_3104,A_3201,A_3301,A_3303,A_3401,A_3402,A_3601,A_4027,A_4386,A_6601,A_6602,A_6801,A_6802,A_6817,A_6901,A_7401,A_7403,A_8001,B_702,B_705,B_801,B_1301,B_1302,B_1401,B_1402,B_1501,B_1502,B_1503,B_1504,B_1505,B_1506,B_1507,B_1508,B_1509,B_1510,B_1511,B_1512,B_1513,B_1515,B_1516,B_1517,B_1518,B_1520,B_1521,B_1524,B_1525,B_1526,B_1527,B_1529,B_1530,B_1531,B_1537,B_1801,B_1802,B_1803,B_1804,B_2702,B_2703,B_2704,B_2705,B_2706,B_2707,B_3501,B_3502,B_3503,B_3504,B_3505,B_3508,B_3509,B_3510,B_3512,B_3517,B_3519,B_3520,B_3521,B_3522,B_3541,B_3543,B_3701,B_3801,B_3802,B_3901,B_3902,B_3903,B_3905,B_3906,B_3908,B_3909,B_3910,B_3911,B_3915,B_3924,B_4001,B_4002,B_4004,B_4006,B_4009,B_4010,B_4012,B_4101,B_4102,B_4104,B_4201,B_4402,B_4403,B_4404,B_4405,B_4407,B_4501,B_4601,B_4701,B_4801,B_4802,B_4803,B_4901,B_5001,B_5002,B_5101,B_5102,B_5105,B_5106,B_5107,B_5108,B_5123,B_5201,B_5301,B_5401,B_5501,B_5502,B_5601,B_5603,B_5604,B_5701,B_5702,B_5703,B_5801,B_5802,B_5901,B_6701,B_7020,B_7301,B_7801,B_8101,B_8201,B_8202,C_102,C_202,C_210,C_302,C_303,C_304,C_305,C_306,C_401,C_403,C_407,C_501,C_602,C_701,C_702,C_704,C_726,C_801,C_802,C_804,C_1202,C_1203,C_1402,C_1403,C_1502,C_1504,C_1505,C_1601,C_1602,C_1604,C_1701,C_1801,DRB5_101,DRB5_102,DRB5_202,DRB5_9901,DRB4_101,DRB4_103,DRB4_9901,DRB3_101,DRB3_202,DRB3_210,DRB3_224,DRB3_301,DRB3_9901,DRB1_101,DRB1_102,DRB1_103,DRB1_301,DRB1_302,DRB1_401,DRB1_402,DRB1_403,DRB1_404,DRB1_405,DRB1_406,DRB1_407,DRB1_408,DRB1_410,DRB1_411,DRB1_701,DRB1_801,DRB1_802,DRB1_803,DRB1_804,DRB1_806,DRB1_807,DRB1_810,DRB1_811,DRB1_901,DRB1_1001,DRB1_1101,DRB1_1102,DRB1_1103,DRB1_1104,DRB1_1106,DRB1_1111,DRB1_1143,DRB1_1201,DRB1_1202,DRB1_1301,DRB1_1302,DRB1_1303,DRB1_1304,DRB1_1305,DRB1_1312,DRB1_1315,DRB1_1321,DRB1_1401,DRB1_1402,DRB1_1403,DRB1_1404,DRB1_1405,DRB1_1406,DRB1_1407,DRB1_1409,DRB1_1410,DRB1_1415,DRB1_1444,DRB1_1501,DRB1_1502,DRB1_1503,DRB1_1601,DRB1_1602,DQB1_201,DQB1_202,DQB1_301,DQB1_302,DQB1_303,DQB1_304,DQB1_401,DQB1_402,DQB1_501,DQB1_502,DQB1_503,DQB1_504,DQB1_601,DQB1_602,DQB1_603,DQB1_604,DQB1_605,DQB1_609,DQA1_101,DQA1_102,DQA1_103,DQA1_104,DQA1_201,DQA1_301,DQA1_302,DQA1_303,DQA1_401,DQA1_501,DQA1_503,DQA1_505,DQA1_509,DQA1_601,DPB1_101,DPB1_201,DPB1_202,DPB1_301,DPB1_401,DPB1_402,DPB1_501,DPB1_502,DPB1_601,DPB1_901,DPB1_902,DPB1_1001,DPB1_1101,DPB1_1301,DPB1_1401,DPB1_1501,DPB1_1601,DPB1_1701,DPB1_1801,DPB1_1901,DPB1_2001,DPB1_2101,DPB1_2201,DPB1_2301,DPB1_2601,DPB1_2801,DPB1_3001,DPB1_3101,DPB1_3301,DPB1_3401,DPB1_3501,DPB1_4001,DPB1_4501,DPB1_4801,DPB1_8101,DPB1_8501,DPA1_103,DPA1_104,DPA1_105,DPA1_107,DPA1_201,DPA1_202,DPA1_301,DPA1_401
1022,0.05568,,,0.11675,0.001306,,0.396214,,,,,,,,,0.3131,0.97039,0.27151,,,0.414255,0.234407,,,,,0.099888,0.90117,,,,0.19427,0.15193,0.41212,0.036513,0.47668,,,0.42139,0.78697,0.04615,,,,,,0.80422,,0.92238,0.15097,,,,,,0.60894,,0.29502,,0.213953,0.20113,0.790097,0.65205,,,,,,,,,0.19838,,,,,,0.358324,0.94285,,,,,,,,,,,0.46507,,,,0.31461,,,0.30446,,,0.34289,,0.005534,,,0.252301,,,,,,,,,,,0.66895,0.86619,,0.82427,,,,0.04531,,,,,,,0.29415,0.735,,,,,,0.040374,0.629,,,0.113241,0.099926,,,,0.129,,0.10895,,,,0.67672,0.31855,,0.0542,,,,,,,0.81676,,,0.70451,,0.893836,,,0.01508,,,0.10109,,,,,,,,,,0.255371,0.075959,,,0.24424,0.27417,,,0.831355,,,0.029377,0.98832,0.3288,0.599457,0.687187,,,0.60413,,0.83597,0.68807,0.69487,,0.04657,,,0.293074,0.04941,,0.16341,,0.36481,,0.83326,0.730001,0.57388,0.55357,0.01552,0.92538,0.01584,,,0.73369,0.214438,0.793654,0.97333,0.62463,0.39238,,0.40897,0.796459,,0.562027,0.298849,,,,,,0.60184,0.7043,,0.48458,,,,,,0.069515,0.68139,0.21064,0.12579,0.0109,0.64581,,,,0.44423,,0.10049,0.73143,0.43049,,,,,,0.62257,,,,,,,,,,,0.302226,0.67242,,0.645614,,0.32248,0.40202,0.22665,0.23871,0.056113,,,0.84033,0.751873,0.75371,0.65018,,0.52166,0.678349,0.27557,0.847916,,0.39363,0.923309,0.384697,0.09157,,0.51062,0.096633,,,0.818414,0.70738,,,,0.54151,0.98171,0.71779,0.8413,0.4273,0.1408,0.55469,0.26229,,,0.1183,,0.09371,0.300503,0.31281,0.084271,0.25111,,0.188433,,0.63097,,,,,,,,,,,,,,,,,0.7254,0.0407,,,0.148653,0.12971,,
1006,0.936,,,0.717,0.953,,0.254,,,,,,,,,0.257,0.96,0.489,,,0.549,0.0365,,,,,0.28115,0.0109,,,,0.0747,0.743,0.267,0.962,0.479,,,0.467,0.978,0.8,,,,,,0.986,,0.5241,0.938,,,,,,0.627,,0.855,,0.67,0.568,0.44,0.0223,,,,,,,,,0.956,,,,,,0.00144,0.0153,,,,,,,,,,,0.75,,,,0.954,,,0.649,,,0.657,,0.42,,,0.566,,,,,,,,,,,0.151,0.719,,0.292578,,,,0.116,,,,,,,0.58,0.594,,,,,,0.822,0.667,,,0.426,0.108,,,,0.76,,0.404,,,,0.936,0.106,,0.609,,,,,,,0.8,,,0.985,,0.812,,,0.388,,,0.817,,,,,,,,,,0.919,0.697,,,0.501,0.107,,,0.401,,,0.877,0.447,0.333,0.945,0.155,,,0.408,,0.806,0.973,0.768,,0.852,,,0.114,0.452,,0.461,,0.25,,0.22,0.486,0.203,0.7085,0.2401,0.274,0.586,,,0.469,0.534,0.116,0.2,0.418,0.3815,,0.436,0.959,,0.903,0.841,,,,,,0.0472,0.791,,0.578,,,,,,0.713,0.314,0.551557,0.477,0.7,0.112,,,,0.348,,0.213,0.545,0.228,,,,,,0.355,,,,,,,,,,,0.245,0.595,,0.41,,0.4351,0.511,0.333,0.0985,0.481,,,0.632,0.346,0.247,0.118,,0.592,0.12,0.241,0.528,,0.606,0.4716,0.136,0.174,,0.0377,0.178,,,0.7,0.457,,,,0.549,0.753,0.155,0.585,0.201,0.24,0.062,0.885,,,0.732,,0.376,0.115,0.26,0.344,0.183,,0.8,,0.2,,,,,,,,,,,,,,,,,0.74,0.219,,,0.187,0.578,,
1067,0.8103,,,0.5196,0.00959,,0.9752,,,,,,,,,0.9001,0.0325,0.609,,,0.5343,0.1141,,,,,0.6411,0.3309,,,,0.8222,0.0794,0.3541,0.9795,0.9418,,,0.4777,0.979,0.9817,,,,,,0.9768,,0.3055,0.6455,,,,,,0.5234,,0.1948,,0.9666,0.9799,0.3179,0.4245,,,,,,,,,0.9846,,,,,,0.9818,0.9783,,,,,,,,,,,0.6885,,,,0.983,,,0.9626,,,0.7559,,0.8269,,,0.9809,,,,,,,,,,,0.1916,0.9761,,0.6709,,,,0.1399,,,,,,,0.5478,0.9748,,,,,,0.9807,0.3162,,,0.9956,0.3843,,,,0.7245,,0.2857,,,,0.8403,0.9736,,0.8982,,,,,,,0.5313,,,0.0319,,0.9779,,,0.5724,,,0.9797,,,,,,,,,,0.3897,0.3348,,,0.261,0.6401,,,0.9093,,,0.9476,0.717,0.8123,0.7876,0.9265,,,0.1779,,0.526,0.9858,0.3232,,0.9067,,,0.753,0.9821,,0.975,,0.0795,,0.1584,0.98,0.1681,0.0289,0.0798,0.9074,0.9099,,,0.1232,0.2596,0.147,0.1853,0.5833,0.9705,,0.8925,0.9779,,0.3169,0.9806,,,,,,0.4108,0.1191,,0.9785,,,,,,0.7264,0.9782,0.6856,0.1088,0.9796,0.9728,,,,0.978,,0.688,0.1301,0.9114,,,,,,0.4744,,,,,,,,,,,0.0479,0.4235,,0.5637,,0.7711,0.7395,0.6441,0.7725,0.8353,,,0.2079,0.1433,0.977,0.6696,,0.4266,0.1719,0.4181,0.0199,,0.9712,0.0796,0.3522,0.3063,,0.4115,0.2773,,,0.1894,0.5237,,,,0.9781,0.627,0.0332,0.0156,0.914,0.187,0.1959,0.9733,,,0.9807,,0.6513,0.9697,0.0593,0.9762,0.976,,0.853,,0.9791,,,,,,,,,,,,,,,,,0.2485,0.9802,,,0.0463,0.9787,,
1023,0.5133,,,0.9527,0.3902,,0.3817,,,,,,,,,0.3612,0.1958,0.8904,,,0.9528,0.3847,,,,,0.8038,0.9934,,,,0.2258,0.2053,0.0509,0.2327,0.9633,,,0.6718,0.5486,0.7009,,,,,,0.2612,,0.454,0.7181,,,,,,0.2887,,0.2772,,0.449,0.58,0.6416,0.9418,,,,,,,,,0.497,,,,,,0.6583,0.5434,,,,,,,,,,,0.7915,,,,0.762,,,0.0808,,,0.1087,,0.1546,,,0.8515,,,,,,,,,,,0.7596,0.4121,,0.0672,,,,0.127,,,,,,,0.3897,0.0268,,,,,,0.3441,0.8852,,,0.2314,0.9905,,,,0.6975,,0.4511,,,,0.387,0.937,,0.625,,,,,,,0.214,,,0.2409,,0.381,,,0.0173,,,0.00656,,,,,,,,,,0.1209,0.0122,,,0.2173,0.0625,,,0.1974,,,0.3757,0.1006,0.6143,0.1797,0.6465,,,0.9888,,0.317,0.8088,0.3925,,0.3102,,,0.838,0.527213,,0.4467,,0.731,,0.5165,0.486,0.0491,0.1704,0.05143,0.8952,0.0871,,,0.4028,0.6212,0.0063,0.3262,0.9924,0.2997,,0.911,0.76,,0.000361,0.3108,,,,,,0.0887,0.647,,0.6914,,,,,,0.9905,0.7926,0.5206,0.4572,0.6032,0.6052,,,,0.2232,,0.1309,0.4605,0.6273,,,,,,0.77,,,,,,,,,,,0.6411,0.1196,,0.299,,0.3407,0.941,0.9983,0.00651,0.025,,,0.5562,0.00694,0.4961,0.958,,0.1168,0.8407,0.1998,0.2773,,0.8808,0.067,0.4593,0.0499,,0.104,0.1065,,,0.5442,0.2954,,,,0.8011,0.9499,0.504,0.7261,0.00609,0.1174,0.5597,0.1677,,,0.132,,0.5641,0.8192,0.7099,0.8835,0.0403,,0.4879,,0.5968,,,,,,,,,,,,,,,,,0.0791,0.0469,,,0.352,0.0763,,
1024,0.5192,,,0.7891,0.953,,0.5783,,,,,,,,,0.2529,0.0414,0.6563,,,0.9041,0.239,,,,,0.138,0.18,,,,0.63163,0.00488,0.8933,0.8227,0.5188,,,0.3013,0.3156,0.231,,,,,,0.7824,,0.3557,0.6611,,,,,,0.6402,,0.3126,,0.000688,0.3297,0.5733,0.9176,,,,,,,,,0.0255,,,,,,0.6897,0.2693,,,,,,,,,,,0.2074,,,,0.9541,,,0.7715,,,0.1934,,0.5031,,,0.0135,,,,,,,,,,,0.9403,0.126,,0.9267,,,,0.886,,,,,,,0.2506,0.1741,,,,,,0.9469,0.2809,,,0.5735,0.0755,,,,0.1432,,0.4516,,,,0.5495,0.5061,,0.9672,,,,,,,0.5599,,,0.8858,,0.1932,,,0.772,,,0.9223,,,,,,,,,,0.5037,0.9395,,,0.9324,0.764,,,0.853,,,0.9687,0.143,0.2307,0.7374,0.0332,,,0.7649,,0.5651,0.2086,0.6675,,0.9406,,,0.2203,0.7128,,0.9551,,0.8442,,0.0788,0.4402,0.0263,0.8203,0.7865,0.9433,0.7118,,,0.4819,0.941,0.0528,0.932,0.443,0.9062,,0.4309,0.5673,,0.2738,0.5914,,,,,,0.000686,0.91,,0.5413,,,,,,0.1323,0.9641,0.0533,0.6896,0.9021,0.3646,,,,0.3704,,0.5242,0.4232,0.2389,,,,,,0.0903,,,,,,,,,,,0.735,0.7854,,0.2159,,0.9568,0.2487,0.993,0.859,0.6236,,,0.8337,0.0504,0.1424,0.1262,,0.7805,0.9881,0.4105,0.404,,0.9013,0.0116,0.7975,0.3905,,0.00146,0.9654,,,0.9178,0.6836,,,,0.5886,0.7259,0.9047,0.9549,0.6138,0.9139,0.5682,0.9464,,,0.947,,0.9277,0.0563,0.658,0.7173,0.9996,,0.0662,,0.262,,,,,,,,,,,,,,,,,0.1987,0.9894,,,0.9777,0.52,,
1050,0.147,,,0.9649,0.952,,0.385,,,,,,,,,0.144,0.939,0.117,,,0.582,0.0699,,,,,0.892,0.2025,,,,0.389,0.196,0.444,0.943,0.292,,,0.179,0.512,0.854,,,,,,0.634,,0.736,0.746,,,,,,0.033,,0.234,,0.377,0.867,0.355,0.617,,,,,,,,,0.956,,,,,,0.601,0.939,,,,,,,,,,,0.718,,,,0.954,,,0.742,,,0.00441,,0.39,,,0.85,,,,,,,,,,,0.246,0.647,,0.975,,,,0.548,,,,,,,0.228,0.107,,,,,,0.946,0.466,,,0.339,0.9249,,,,0.861,,0.947,,,,0.198,0.83,,0.0307,,,,,,,0.1506,,,0.758,,0.938,,,0.417,,,0.605,,,,,,,,,,0.166,0.114,,,0.679,0.535,,,0.303,,,0.737,0.91,0.6098,0.0341,0.462,,,0.314,,0.149,0.963,0.0208,,0.9,,,0.708,0.615,,0.26,,0.227,,0.163,0.212,0.274,0.1446,0.1521,0.164,0.833,,,0.612,0.646,0.245,0.419,0.977,0.168,,0.621,0.3607,,0.407,0.805,,,,,,0.781,0.744,,0.71,,,,,,0.525,0.159,0.9112,0.575,0.943,0.5542,,,,0.799,,0.0256,0.564,0.524,,,,,,0.9955,,,,,,,,,,,0.116,0.331,,0.184,,0.24,0.4116,0.695,0.23,0.388,,,0.545,0.358,0.0977,0.703,,0.335,0.2196,0.0671,0.751,,0.787,0.234,0.388,0.0213,,0.524,0.174,,,0.79,0.765,,,,0.766,0.622,0.9916,0.927,0.5967,0.8738,0.0313,0.457,,,0.503,,0.9518,0.632,0.213,0.493,0.47,,0.245,,0.0859,,,,,,,,,,,,,,,,,0.206,0.778,,,0.818,0.528,,
1019,0.6744,,,0.68719,0.9541,,0.596,,,,,,,,,0.564,0.9612,0.5917,,,0.978,0.2047,,,,,0.59045,0.2784,,,,0.8253,0.5538,0.8922,0.9634,0.9412,,,0.8424,0.8305,0.8933,,,,,,0.8859,,0.4573,0.5351,,,,,,0.7714,,0.5154,,0.2173,0.7908,0.0391,0.1147,,,,,,,,,0.9579,,,,,,0.9508,0.1316,,,,,,,,,,,0.9485,,,,0.3624,,,0.9513,,,0.3608,,0.2187,,,0.9483,,,,,,,,,,,0.3936,0.77155,,0.5735,,,,0.5315,,,,,,,0.1722,0.3174,,,,,,0.948,0.9545,,,0.5051,0.2965,,,,0.1793,,0.4986,,,,0.57,0.5009,,0.6931,,,,,,,0.3007,,,0.6938,,0.254,,,0.715,,,0.9468,,,,,,,,,,0.893,0.4741,,,0.499,0.7089,,,0.7795,,,0.4606,0.3841,0.3276,0.7288,0.7315,,,0.1152,,0.2964,0.2221,0.453,,0.4095,,,0.55,0.3752,,0.9559,,0.7751,,0.7193,0.2293,0.8653,0.62698,0.0188,0.0467,0.0279,,,0.1105,0.7151,0.1843,0.2291,0.3531,0.1462,,0.188,0.6402,,0.0231,0.266,,,,,,0.2695,0.1932,,0.9614,,,,,,0.9505,0.3831,0.3337,0.9157,0.5938,0.4849,,,,0.4859,,0.9416,0.0997,0.537,,,,,,0.1677,,,,,,,,,,,0.4525,0.4024,,0.8885,,0.14466,0.871675,0.5462,0.4132,0.23931,,,0.1166,0.664,0.9633,0.1172,,0.4073,0.8159,0.7981,0.1989,,0.3079,0.8568,0.2509,0.72404,,0.357,0.244,,,0.1625,0.00258,,,,0.9607,0.3726,0.599,0.8405,0.8233,0.2196,0.6922,0.757,,,0.8081,,0.028,0.8421,0.3909,0.8208,0.0393,,0.4391,,0.2316,,,,,,,,,,,,,,,,,0.3928,0.5938,,,0.1474,0.4184,,
1087,0.14541,,,0.5471,0.99857,,0.65181,,,,,,,,,0.09834,0.9982,0.63155,,,0.99285,0.92889,,,,,0.85739,0.99297,,,,0.75018,0.8906,0.99458,0.01272,0.99105,,,0.27197,0.99594,0.9977,,,,,,0.16543,,0.79667,0.9958,,,,,,6.62e-05,,0.5061,,0.78453,0.99413,0.45393,0.3483,,,,,,,,,0.99942,,,,,,0.0657,0.017,,,,,,,,,,,0.25894,,,,0.99863,,,0.98933,,,0.87446,,0.000298,,,0.99841,,,,,,,,,,,0.9183,0.9955,,0.99575,,,,0.99555,,,,,,,0.87109,0.70386,,,,,,0.0964,0.99682,,,0.58187,0.37194,,,,0.99558,,0.99694,,,,0.98149,0.73243,,0.09052,,,,,,,0.99615,,,0.05266,,0.99724,,,0.22042,,,0.99612,,,,,,,,,,0.2712,0.51242,,,0.47995,0.81578,,,0.6377,,,0.7208,0.3864,0.49448,0.00061,0.23038,,,0.56835,,0.99616,0.29926,0.20682,,0.68299,,,0.68329,0.99775,,0.2369,,0.50529,,0.9955,0.10087,0.08644,0.93158,0.1013,0.62497,0.1614,,,0.65405,0.998,0.72775,0.99535,0.99302,0.79261,,0.36307,0.99722,,0.306,0.33043,,,,,,0.16058,0.69531,,0.9973,,,,,,0.88947,0.48033,0.53683,0.000451,0.09183,0.1704,,,,0.83235,,0.988,0.66365,0.99501,,,,,,0.61751,,,,,,,,,,,0.7525,0.99646,,0.43502,,0.71813,0.99659,0.47315,0.51134,0.4921,,,0.84089,0.72907,0.99564,0.4985,,0.99645,0.39097,0.98796,0.30948,,0.84005,0.66812,0.50356,0.2201,,0.16078,0.7066,,,0.80963,0.04083,,,,0.99724,0.5999,0.5523,0.09441,0.9291,0.7988,0.75151,0.83127,,,0.99757,,0.99339,0.40983,0.83901,0.99548,0.99544,,0.9811,,0.99602,,,,,,,,,,,,,,,,,0.39529,0.99624,,,0.35452,0.32228,,
1002,0.6159,,,0.4997,0.0417,,0.7693,,,,,,,,,0.0122,0.9139,0.7537,,,0.1265,0.486,,,,,0.8013,0.3215,,,,0.0238,0.1915,0.9677,0.2403,0.6072,,,0.35,0.3584,0.961,,,,,,0.0513,,0.2779,0.9442,,,,,,0.98863,,0.4767,,0.303,0.3989,0.3181,0.2905,,,,,,,,,0.9052,,,,,,0.6961,0.6583,,,,,,,,,,,0.854,,,,0.4842,,,0.567,,,0.41,,0.6734,,,0.7215,,,,,,,,,,,0.2492,0.0612,,0.3463,,,,0.8139,,,,,,,0.2702,0.1771,,,,,,0.488,0.3964,,,0.6859,0.01996,,,,0.2667,,0.0444,,,,0.2592,0.2182,,0.3829,,,,,,,0.2686,,,0.9009,,0.7294,,,0.262,,,0.9604,,,,,,,,,,0.8833,0.816,,,0.0458,0.86,,,0.9308,,,0.4927,0.0525,0.1004,0.8606,0.513,,,0.6022,,0.2925,0.292,0.3791,,0.0678,,,0.1166,0.00804,,0.154,,0.9117,,0.764,0.0626,0.0502,0.25,0.8179,0.5294,0.0807,,,0.578,0.2296,0.8576,0.7174,0.2833,0.2867,,0.4912,0.6948,,0.1263,0.759,,,,,,0.0324,0.7879,,0.6296,,,,,,0.8093,0.1189,0.9146,0.5375,0.0986,0.3371,,,,0.8129,,0.6231,0.4854,0.689,,,,,,0.442,,,,,,,,,,,0.9662,0.2764,,0.9389,,0.2715,0.122,0.7528,0.196,0.5947,,,0.9506,0.4773,0.951,0.3685,,0.2847,0.8772,0.695,0.8014,,0.1803,0.7637,0.8038,0.7654,,0.0898,0.1515,,,0.785,0.4021,,,,0.5885,0.2849,0.0589,0.7273,0.0107,0.5388,0.5857,0.6385,,,0.9642,,0.9665,0.8588,0.1942,0.6011,0.114,,0.4972,,0.5636,,,,,,,,,,,,,,,,,0.145,0.4625,,,0.6915,0.8441,,
1003,0.082344,,,0.3208,0.6583,,0.5743,,,,,,,,,0.135,0.543,0.046,,,0.5256,0.048,,,,,0.1038,0.4759,,,,0.0168,0.0732,0.0548,0.2145,0.6625,,,0.3994,0.1117,0.0726,,,,,,0.1414,,0.3159,0.2658,,,,,,0.3251,,0.7697,,0.00718,0.4133,0.001724,0.026004,,,,,,,,,0.8559,,,,,,0.2623,0.9361,,,,,,,,,,,0.0109,,,,0.9025,,,0.1813,,,0.00446,,0.8128,,,0.8719,,,,,,,,,,,0.657382,0.3319,,0.7513,,,,0.0096,,,,,,,1.53e-06,0.7832,,,,,,0.1188,0.2632,,,0.7329,5.56e-07,,,,0.6019,,0.6413,,,,0.0752,0.7695,,0.0263,,,,,,,0.5179,,,0.0145,,0.1267,,,0.4509,,,0.000291,,,,,,,,,,0.465,0.7968,,,0.613,1.36e-06,,,0.5132,,,0.1305,0.3515,0.9224,0.5722,0.2487,,,0.0031,,0.6348,0.0222,0.7928,,0.27,,,5e-05,0.1734,,0.348,,0.9947,,0.3587,0.7493,0.000125,3.69e-05,0.221053,0.71708,0.0916,,,4.88e-05,0.490323,4.13e-08,0.00987,0.001056,0.260474,,0.4675,0.8369,,0.003691,0.00319,,,,,,1.87e-06,0.5672,,0.1784,,,,,,0.0728,0.7881,0.0198,0.4082,0.1944,0.211,,,,0.2709,,0.2249,1.09e-05,0.2403,,,,,,0.7796,,,,,,,,,,,0.9085,0.6492,,0.4995,,0.463815,0.000199,0.096025,1.84e-07,0.00758,,,0.6123,2.04e-12,0.4846,0.319,,0.5732,0.9088,0.192227,0.000148,,0.0699,1.02e-08,0.055,0.2785,,1.54e-06,0.00101,,,0.4052,0.048103,,,,0.1259,0.0875,0.00427,0.1421,0.4046,0.0206,0.019397,0.2364,,,0.8998,,0.3564,0.000231,0.7195,0.00775,0.4155,,0.1279,,0.00128,,,,,,,,,,,,,,,,,0.00858,0.22886,,,3.4e-05,0.7308,,
