,A_101,A_102,A_103,A_201,A_202,A_203,A_205,A_206,A_207,A_210,A_211,A_214,A_216,A_220,A_264,A_301,A_302,A_1101,A_1102,A_1103,A_2301,A_2402,A_2403,A_2404,A_2407,A_2410,A_2501,A_2601,A_2603,A_2608,A_2901,A_2902,A_3001,A_3002,A_3004,A_3101,A_3103,A_3104,A_3201,A_3301,A_3303,A_3401,A_3402,A_3601,A_4027,A_4386,A_6601,A_6602,A_6801,A_6802,A_6817,A_6901,A_7401,A_7403,A_8001,B_702,B_705,B_801,B_1301,B_1302,B_1401,B_1402,B_1501,B_1502,B_1503,B_1504,B_1505,B_1506,B_1507,B_1508,B_1509,B_1510,B_1511,B_1512,B_1513,B_1515,B_1516,B_1517,B_1518,B_1520,B_1521,B_1524,B_1525,B_1526,B_1527,B_1529,B_1530,B_1531,B_1537,B_1801,B_1802,B_1803,B_1804,B_2702,B_2703,B_2704,B_2705,B_2706,B_2707,B_3501,B_3502,B_3503,B_3504,B_3505,B_3508,B_3509,B_3510,B_3512,B_3517,B_3519,B_3520,B_3521,B_3522,B_3541,B_3543,B_3701,B_3801,B_3802,B_3901,B_3902,B_3903,B_3905,B_3906,B_3908,B_3909,B_3910,B_3911,B_3915,B_3924,B_4001,B_4002,B_4004,B_4006,B_4009,B_4010,B_4012,B_4101,B_4102,B_4104,B_4201,B_4402,B_4403,B_4404,B_4405,B_4407,B_4501,B_4601,B_4701,B_4801,B_4802,B_4803,B_4901,B_5001,B_5002,B_5101,B_5102,B_5105,B_5106,B_5107,B_5108,B_5123,B_5201,B_5301,B_5401,B_5501,B_5502,B_5601,B_5603,B_5604,B_5701,B_5702,B_5703,B_5801,B_5802,B_5901,B_6701,B_7020,B_7301,B_7801,B_8101,B_8201,B_8202,C_102,C_202,C_210,C_302,C_303,C_304,C_305,C_306,C_401,C_403,C_407,C_501,C_602,C_701,C_702,C_704,C_726,C_801,C_802,C_804,C_1202,C_1203,C_1402,C_1403,C_1502,C_1504,C_1505,C_1601,C_1602,C_1604,C_1701,C_1801,DRB5_101,DRB5_102,DRB5_202,DRB5_9901,DRB4_101,DRB4_103,DRB4_9901,DRB3_101,DRB3_202,DRB3_210,DRB3_224,DRB3_301,DRB3_9901,DRB1_101,DRB1_102,DRB1_103,DRB1_301,DRB1_302,DRB1_401,DRB1_402,DRB1_403,DRB1_404,DRB1_405,DRB1_406,DRB1_407,DRB1_408,DRB1_410,DRB1_411,DRB1_701,DRB1_801,DRB1_802,DRB1_803,DRB1_804,DRB1_806,DRB1_807,DRB1_810,DRB1_811,DRB1_901,DRB1_1001,DRB1_1101,DRB1_1102,DRB1_1103,DRB1_1104,DRB1_1106,DRB1_1111,DRB1_1143,DRB1_1201,DRB1_1202,DRB1_1301,DRB1_1302,DRB1_1303,DRB1_1304,DRB1_1305,DRB1_1312,DRB1_1315,DRB1_1321,DRB1_1401,DRB1_1402,DRB1_1403,DRB1_1404,DRB1_1405,DRB1_1406,DRB1_1407,DRB1_1409,DRB1_1410,DRB1_1415,DRB1_1444,DRB1_1501,DRB1_1502,DRB1_1503,DRB1_1601,DRB1_1602,DQB1_201,DQB1_202,DQB1_301,DQB1_302,DQB1_303,DQB1_304,DQB1_401,DQB1_402,DQB1_501,DQB1_502,DQB1_503,DQB1_504,DQB1_601,DQB1_602,DQB1_603,DQB1_604,DQB1_605,DQB1_609,DQA1_101,DQA1_102,DQA1_103,DQA1_104,DQA1_201,DQA1_301,DQA1_302,DQA1_303,DQA1_401,DQA1_501,DQA1_503,DQA1_505,DQA1_509,DQA1_601,DPB1_101,DPB1_201,DPB1_202,DPB1_301,DPB1_401,DPB1_402,DPB1_501,DPB1_502,DPB1_601,DPB1_901,DPB1_902,DPB1_1001,DPB1_1101,DPB1_1301,DPB1_1401,DPB1_1501,DPB1_1601,DPB1_1701,DPB1_1801,DPB1_1901,DPB1_2001,DPB1_2101,DPB1_2201,DPB1_2301,DPB1_2601,DPB1_2801,DPB1_3001,DPB1_3101,DPB1_3301,DPB1_3401,DPB1_3501,DPB1_4001,DPB1_4501,DPB1_4801,DPB1_8101,DPB1_8501,DPA1_103,DPA1_104,DPA1_105,DPA1_107,DPA1_201,DPA1_202,DPA1_301,DPA1_401
1022,0.072983,,,0.058201,0.989128,,-0.132604,,,,,,,,,-0.04188,0.014144,-0.063057,,,-0.083485,0.061027,,,,,-0.188582,-0.012523,,,,-0.086824,-0.199601,0.100591,0.639742,-0.057759,,,0.055414,-0.046919,0.476719,,,,,,-0.060688,,-0.007374,0.215127,,,,,,0.020771,,0.04279,,-0.122405,0.140965,0.021559,0.025184,,,,,,,,,0.927063,,,,,,0.248303,0.027318,,,,,,,,,,,0.050354,,,,0.415367,,,-0.071451,,,-0.063129,,0.348443,,,0.409575,,,,,,,,,,,-0.048741,0.025479,,0.035591,,,,0.27478,,,,,,,-0.062294,-0.050624,,,,,,0.476892,0.099747,,,0.068975,-0.096738,,,,-0.271178,,-0.447591,,,,0.048454,0.129971,,-0.1449,,,,,,,-0.042792,,,-0.036881,,-0.034767,,,0.15393,,,-0.352518,,,,,,,,,,-0.084371,-0.1304,,,-0.069944,-0.056152,,,-0.010559,,,0.093456,0.0007031,0.038063,0.020964,-0.04004,,,0.035407,,-0.038239,-0.031505,-0.053713,,-0.2188,,,-0.068568,-0.985741,,0.276945,,-0.037594,,0.032201,0.042714,-0.029118,0.022604,-0.132958,-0.00374,-0.10602,,,0.023124,-0.071321,-0.012576,-0.005001,0.047673,0.03478,,0.037333,0.063195,,0.038764,0.178122,,,,,,-0.021535,-0.038085,,-0.195405,,,,,,0.187794,0.066643,-0.108598,-0.627933,0.539138,-0.064085,,,,0.07949,,-0.103736,0.023192,0.104402,,,,,,-0.047875,,,,,,,,,,,-0.042949,-0.087193,,-0.084927,,0.040188,-0.062612,-0.048105,0.052748,0.108954,,,0.018371,-0.013773,-0.050908,-0.040585,,-0.134921,-0.017302,-0.067899,-0.015264,,0.103212,-0.003986,-0.03381,-0.102654,,-0.0272,0.063075,,,0.021176,0.014245,,,,-0.164536,0.001291,0.01702,0.030278,-0.044714,0.06139,0.026944,-0.106691,,,-0.593364,,-0.195722,-0.086591,-0.112963,0.2369,0.16179,,-0.173857,,-0.088676,,,,,,,,,,,,,,,,,-0.035506,0.324828,,,-0.060296,-0.1195,,
1006,-0.009131,,,-0.040717,-10.59,,0.408343,,,,,,,,,-0.144213,-11.61,0.110406,,,0.163694,-0.382709,,,,,0.294351,0.586764,,,,0.30265,0.117442,-0.558006,-11.57,-0.181051,,,0.14322,0.01371,-0.254475,,,,,,0.012195,,-0.154206,-12.64,,,,,,0.058253,,0.022198,,0.112583,-0.218223,-0.203937,-0.465966,,,,,,,,,-8.815,,,,,,1.441953,1.412391,,,,,,,,,,,-0.068697,,,,-10.65,,,0.088305,,,0.083699,,0.30846,,,0.576641,,,,,,,,,,,-0.646842,-0.180964,,-0.746732,,,,-1.57248,,,,,,,-0.099705,-0.26864,,,,,,-0.225409,0.249777,,,0.101997,0.247656,,,,-0.15404,,-0.835526,,,,-0.028711,0.519873,,-0.115302,,,,,,,-0.147025,,,0.005453,,0.168578,,,0.162485,,,-0.13412,,,,,,,,,,-0.022012,-0.08406,,,-0.123028,-0.267701,,,0.11885,,,-0.020486,0.105061,0.109762,0.008141,0.354224,,,-0.182449,,-0.142764,0.007879,0.112917,,-0.057311,,,0.268536,0.534034,,-0.738512,,-0.145654,,-0.870424,0.294239,0.181912,0.043129,-0.18427,-0.133534,0.068214,,,-0.159508,0.111928,-0.24621,0.459573,0.214372,-0.110286,,0.103369,-12.57,,-0.024727,-0.116191,,,,,,0.23058,-0.08121,,-0.558106,,,,,,0.118128,-0.71472,0.140751,0.505156,0.273191,-1.12803,,,,-0.358498,,-0.249298,-0.130602,-0.700066,,,,,,0.23681,,,,,,,,,,,-0.14739,-0.3769,,-0.584456,,-0.097957,0.137589,0.112617,-0.242425,0.119574,,,-0.14088,-0.127213,-0.822117,0.352435,,-0.380508,-0.202603,-0.235074,-0.161569,,-0.2124,-0.091783,-0.176568,-0.263266,,0.240637,0.150242,,,-0.113404,-0.085733,,,,-0.600372,0.051624,-0.216081,0.224882,0.196805,0.149801,-0.280418,0.038109,,,-0.342604,,0.250499,0.32731,0.307378,0.362141,-0.944252,,-0.096817,,-1.283878,,,,,,,,,,,,,,,,,0.100788,-1.232679,,,0.155568,0.117702,,
1067,0.069659,,,-0.183562,2.618664,,-12.84,,,,,,,,,0.038969,2.159779,-0.239927,,,-0.627283,-0.939291,,,,,-0.470497,0.578052,,,,-0.116694,1.04199,0.667699,-10.86,0.043322,,,0.333069,-12.86,-11.84,,,,,,-11.86,,0.480705,0.464381,,,,,,-0.208441,,0.372801,,-0.030207,-13.81,-1.008058,-0.416169,,,,,,,,,-8.812,,,,,,-11.88,-10.84,,,,,,,,,,,-0.238047,,,,-10.86,,,-0.02436,,,0.146087,,0.220678,,,-10.84,,,,,,,,,,,0.775662,-12.85,,0.428915,,,,1.063783,,,,,,,0.243538,-12.87,,,,,,-11.86,1.011784,,,0.001856,-0.451759,,,,0.355774,,1.077824,,,,-0.203348,-12.85,,0.066451,,,,,,,0.632008,,,1.006637,,-11.85,,,-0.335227,,,-12.86,,,,,,,,,,-0.619696,-0.694841,,,0.431359,0.171122,,,-0.04363,,,-0.02216,0.126772,0.069588,-0.08344,0.066445,,,-1.360023,,0.640054,-0.010566,0.712002,,0.084424,,,-0.163659,-11.88,,-11.84,,-0.671027,,1.016994,13.488396,-0.716261,0.6030384,1.057888,-0.035363,-0.037197,,,0.6238,-0.44613,0.462086,0.954509,-0.554005,0.011474,,-0.04736,-11.86,,0.433029,-12.83,,,,,,-0.277916,0.809605,,-11.82,,,,,,-0.353198,-12.84,-0.29209,1.619645,-11.86,-12.88,,,,-13.86876,,0.173815,0.612589,0.112362,,,,,,0.424956,,,,,,,,,,,-0.801956,0.80792,,0.583043,,-0.092634,-0.198065,-0.144471,0.097701,-0.097508,,,0.654179,0.436238,-12.87,0.25349,,0.802581,-0.498208,0.327749,0.942788,,-12.84,0.499545,-0.288993,0.391401,,-0.277478,0.300941,,,0.6817,-0.18852,,,,-11.83,-0.227967,0.65478,1.436519,-0.04716,-0.4225651,-0.561496,-13.87,,,-11.84,,-0.456225,-13.88,0.979656,-12.85442,-12.85,,-0.187001,,-12.85,,,,,,,,,,,,,,,,,-0.925446,-12.83,,,-0.80857,-14.9,,
1023,-0.032048,,,-0.002797,0.432854,,-0.176714,,,,,,,,,-0.047875,0.493277,0.00971,,,-0.007386,0.056445,,,,,-0.033529,0.001055,,,,0.095033,0.185975,0.27845,0.491351,0.004591,,,0.037159,0.121321,-0.157613,,,,,,0.292887,,-0.073758,0.072999,,,,,,0.05386,,0.055875,,0.08576,-0.085684,0.04709,0.005191,,,,,,,,,0.686438,,,,,,0.1575,-0.352122,,,,,,,,,,,-0.023738,,,,0.175928,,,-0.15948,,,-0.139295,,0.237499,,,-0.108577,,,,,,,,,,,-0.044005,-0.172625,,0.32317,,,,0.265435,,,,,,,0.061486,-0.525639,,,,,,0.301671,-0.040351,,,0.065783,0.0008501,,,,-0.080144,,-0.239752,,,,-0.138776,0.013737,,-0.044527,,,,,,,-0.334283,,,-0.15183,,-0.332708,,,0.187861,,,-1.03082,,,,,,,,,,-0.149508,-0.244477,,,-0.094444,0.113892,,,-0.082782,,,0.048671,0.096499,0.024809,0.066863,-0.058063,,,0.001228,,-0.260454,0.023439,-0.155364,,-0.13575,,,0.016303,-0.284016,,0.198216,,-0.017891,,0.119948,0.11226,0.122301,0.065598,-0.132856,0.006624,-0.094955,,,-0.074848,-0.036084,-0.175172,0.170698,-0.001198,0.05306,,0.006405,-0.102641,,0.273517,-0.272745,,,,,,0.086844,0.055636,,0.120623,,,,,,-0.001693,0.05423,-0.069266,-0.33395,-0.19751,-0.092497,,,,0.154366,,-0.121221,-0.065359,0.082027,,,,,,0.034628,,,,,,,,,,,-0.02436,-0.49467,,0.210177,,0.04884,0.006849,-0.0001079,0.149392,0.158407,,,0.066267,-0.154606,0.127997,0.005873,,-0.498492,-0.010578,-0.102105,-0.114103,,0.023764,-0.097907,-0.036238,-0.153737,,0.082909,0.077129,,,0.069093,0.049908,,,,0.076515,-0.004476,0.039544,0.065832,-0.207655,0.083189,-0.034253,-0.170833,,,0.439046,,-0.080601,0.023007,-0.051067,0.028019,-0.500802,,0.10183,,-0.125705,,,,,,,,,,,,,,,,,0.247956,-0.631509,,,0.047697,-0.181626,,
1024,0.0662,,,-0.027563,-10.87,,-0.25024,,,,,,,,,-0.131611,1.185191,0.065819,,,0.031698,-0.178884,,,,,0.357593,-0.451621,,,,0.081512,0.697556,-0.047899,0.224597,-0.147825,,,-0.217188,0.382924,0.695898,,,,,,-0.195869,,0.174921,0.180408,,,,,,0.051021,,0.109204,,0.643246,-0.371776,0.118409,0.015727,,,,,,,,,2.25766,,,,,,-0.400014,0.7845,,,,,,,,,,,0.219685,,,,-10.89,,,0.051907,,,-0.254366,,0.239239,,,1.436651,,,,,,,,,,,-0.022912,-1.084757,,-0.041432,,,,0.058998,,,,,,,-0.195247,-0.787875,,,,,,-11.84,-1.079719,,,-0.069164,0.249332,,,,-1.037944,,0.378682,,,,-0.213738,0.224239,,-0.007924,,,,,,,-0.337994,,,0.036613,,0.6548,,,0.051798,,,-0.049022,,,,,,,,,,-0.137847,-0.014384,,,0.013368,-0.041521,,,-0.024936,,,-0.004672,0.179905,0.123644,0.036135,0.457007,,,-0.057572,,-0.333474,-0.302899,0.144894,,-0.020271,,,0.195127,-0.368701,,-12.86,,-0.021948,,0.563586,0.282372,0.281649,0.02333,0.041032,0.007637,0.041974,,,0.124111,0.011663,-0.275352,-0.035117,0.190389,0.01302,,-0.101717,0.331853,,-0.221596,0.241788,,,,,,0.350836,0.029825,,0.354351,,,,,,-0.619025,0.020239,0.366622,0.283403,0.087281,0.290458,,,,-0.301949,,0.100394,0.139514,-0.591954,,,,,,-0.570896,,,,,,,,,,,-0.038072,-0.157886,,0.472424,,0.005982,0.213808,0.0009419,-0.022017,0.076574,,,-0.053521,-0.247268,0.495053,-0.447944,,-0.161564,-0.001665,0.128513,0.166211,,0.04181,-0.307047,0.026758,0.12923,,0.330209,-0.004487,,,-0.02633,0.041575,,,,0.313713,-0.054731,0.015288,0.023256,-0.07857,0.011975,0.069544,-0.016661,,,-11.88,,-0.026587,0.356205,0.120374,-0.162985,-0.000198,,0.483428,,-0.795231,,,,,,,,,,,,,,,,,-0.30922,-0.006703,,,-0.003127,0.123639,,
1050,0.138822,,,0.004159,-11.02,,-0.390753,,,,,,,,,-0.159115,-11.03,-0.244972,,,0.129011,0.222866,,,,,-0.037009,-0.388855,,,,0.133374,0.35093,0.223845,-10.98,-0.235278,,,-0.270929,0.249818,0.130833,,,,,,-0.337674,,0.062488,-0.145805,,,,,,0.211195,,0.120444,,-0.231968,0.048895,-0.211443,0.069525,,,,,,,,,-9.152,,,,,,-0.523732,-11.0,,,,,,,,,,,-0.065972,,,,-11.01,,,0.054878,,,-0.608445,,-0.38629,,,0.189201,,,,,,,,,,,0.286625,0.163219,,0.01313,,,,0.214618,,,,,,,-0.190635,0.472198,,,,,,-11.98,-0.516813,,,-0.111131,0.013499,,,,-0.0719,,-0.038551,,,,-0.489869,0.072444,,0.33498,,,,,,,0.51322,,,0.072112,,-11.97,,,0.131086,,,0.212887,,,,,,,,,,-0.284209,0.249822,,,0.05963,-0.081083,,,-0.134569,,,-0.037741,-0.013847,0.050254,0.207341,-0.199691,,,-0.192982,,0.515375,0.009083,0.588473,,-0.031843,,,-0.061753,-0.503955,,-1.12714,,0.121887,,-0.80802,0.454036,-0.151157,-0.14377,-0.202,0.136791,0.022581,,,-0.091467,-0.065528,-0.148313,-0.363222,-0.007447,0.138464,,0.056303,-0.915421,,-0.15175,-0.124093,,,,,,-0.029213,0.078602,,0.215685,,,,,,0.16706,0.474923,0.022927,-0.561243,-12.01,-0.225377,,,,-0.071591,,0.303364,-0.104133,0.204025,,,,,,0.001343,,,,,,,,,,,0.157801,0.400193,,-0.94153,,0.11859,-0.163335,-0.039369,-0.144647,0.123414,,,0.131991,-0.104254,-1.174024,0.081623,,0.396887,0.125274,0.254365,-0.065258,,-0.091158,-0.129446,0.082778,0.302714,,-0.067692,-0.13572,,,0.060772,-0.028965,,,,0.172324,-0.072374,0.001254,0.034898,0.071307,0.0167,0.2333,0.159036,,,-0.67007,,-0.01642,-0.102436,0.291604,-0.3082,-0.324656,,-0.443012,,0.578746,,,,,,,,,,,,,,,,,0.37946,-0.141965,,,-0.024041,0.113683,,
1019,-0.051602,,,0.046814,-10.57,,0.218626,,,,,,,,,-0.075394,-11.57,-0.097208,,,0.008471,0.19543,,,,,-0.192796,-0.414362,,,,0.043646,-0.267009,-0.055894,-11.53,-0.018383,,,0.043024,0.107757,-0.134439,,,,,,0.10187,,-0.190626,0.279771,,,,,,-0.03761,,-0.085541,,-0.441856,-0.101453,-0.738791,0.253918,,,,,,,,,-8.707,,,,,,-11.57,1.071676,,,,,,,,,,,-0.014258,,,,0.913949,,,-0.01297,,,-0.201926,,-0.872597,,,-10.55,,,,,,,,,,,0.261903,0.131,,0.25394,,,,-0.363114,,,,,,,-0.279371,0.382564,,,,,,-11.53,-12.58,,,0.09008,0.172662,,,,0.513702,,0.392988,,,,0.192158,0.257402,,-0.09117,,,,,,,0.466923,,,0.111531,,0.662587,,,0.074712,,,-0.038732,,,,,,,,,,0.029717,0.1465,,,0.1181,-0.059997,,,-0.043768,,,0.098684,0.125319,-0.123477,0.043214,-0.110266,,,-0.404235,,0.471119,-0.345709,-0.378148,,-0.295406,,,0.112905,0.629865,,-12.54,,-0.037117,,0.162173,-0.386783,-0.027264,0.059079,-0.374253,-0.262942,-0.324231,,,-0.409245,0.07426,0.18783,-0.853391,0.254248,-0.194571,,0.1772,-0.468404,,0.40685,-1.113434,,,,,,0.137316,0.344368,,-12.6,,,,,,-0.02224,-0.61886,-0.284646,-0.106099,0.378706,-0.351549,,,,-0.266423,,0.013842,-0.422259,-0.310762,,,,,,-0.527388,,,,,,,,,,,-0.100028,0.421688,,-0.08143,,-0.195386,-0.037491,-0.07545,0.112259,0.203363,,,0.38094,0.058113,-0.023146,-0.561045,,0.417379,-0.030544,0.047658,-0.37808,,-0.513341,-0.023489,-0.142409,0.063239,,0.1156,0.1375,,,0.348259,-0.380452,,,,-12.6,-0.16849,0.076077,-0.101289,0.038441,0.1611,0.05558,-0.091067,,,-0.243429,,-1.558313,-0.051108,0.252568,-0.114003,0.69774,,-0.34886,,-1.198255,,,,,,,,,,,,,,,,,0.336055,0.268609,,,-0.194634,-0.2076,,
1087,-0.547721,,,0.190688,-16.52,,0.4566,,,,,,,,,0.536078,-16.44,0.2107,,,-16.48,0.039288,,,,,-0.1819,-16.48,,,,-0.1905,0.1392,-16.45,2.526,-16.49,,,-1.11132,-16.46,-16.37,,,,,,1.404,,0.1541,-16.41,,,,,,1.221,,-0.2487,,0.1979,-16.4,-0.7577,-0.56114,,,,,,,,,-16.21,,,,,,1.864,2.421,,,,,,,,,,,-1.142,,,,-16.32,,,-16.49977,,,0.08288,,1.902,,,-16.52,,,,,,,,,,,-0.1038,-16.46,,-16.45,,,,-16.42,,,,,,,0.0771,0.3847,,,,,,1.684,-16.48,,,-0.228042,-0.5341,,,,-16.43,,-16.36,,,,0.02347,0.3459,,0.7443,,,,,,,-16.45,,,1.017,,-16.43,,,-1.24,,,-16.42,,,,,,,,,,-1.113,-0.4743,,,0.3104,-0.10238,,,0.18419,,,-0.1397,-0.4115,-0.2379,1.046191,0.7177,,,-0.4131,,-16.45,0.5446,0.9143,,-0.4132,,,-0.244,-16.42,,1.197,,0.228837,,-16.44,-1.05966,-1.241,-0.02749,1.67894,-0.1702,0.45649,,,0.2351,-0.00126,0.13685,-16.47,-16.4,-0.0953,,-0.3996,-16.5,,0.48642,0.985,,,,,,-0.5784,-0.3964,,-16.44,,,,,,-0.1406,0.7142,0.3707,2.546,1.708,0.9943,,,,-0.2142,,-16.51389,0.2281,-16.43,,,,,,-0.5053,,,,,,,,,,,0.111231,-16.42,,0.7906,,-0.13036,-0.002564,0.229628,0.2363,-0.4109,,,0.1453,0.12551,-16.41,-0.6849,,-16.43,0.29624,-16.54068,0.5334,,0.2043,0.145807,0.216951,-0.88761,,-0.5781,0.118,,,0.1744,0.632018,,,,-16.46,0.2305,0.2236,1.211,0.03912,0.09402,-0.13114,0.1543,,,-16.45,,-16.44,-0.8338,-0.2056,-16.42,-16.39,,0.02397,,-16.46,,,,,,,,,,,,,,,,,-0.664696,-16.4,,,-0.363889,-1.001,,
1002,-0.010705,,,0.013963,-0.783255,,0.023583,,,,,,,,,-0.057783,-0.023391,0.009666,,,0.080565,-0.020324,,,,,0.014653,-0.055643,,,,0.078484,-0.095585,-0.002861,0.240869,-0.02282,,,-0.037275,0.083555,0.008243,,,,,,0.232976,,0.04444,0.006421,,,,,,0.0003224,,-0.016285,,0.051989,0.054075,-0.046295,0.032734,,,,,,,,,-0.087113,,,,,,-0.06743,-0.097561,,,,,,,,,,,-0.007223,,,,0.188425,,,-0.021521,,,-0.029712,,-0.03475,,,-0.086903,,,,,,,,,,,0.069384,-0.169603,,0.082435,,,,0.019938,,,,,,,-0.035657,0.104369,,,,,,-0.112168,0.096057,,,-0.009964,0.071041,,,,0.092517,,0.235607,,,,-0.07674,0.091767,,0.033643,,,,,,,-0.115908,,,0.006588,,-0.049249,,,0.041148,,,-0.004992,,,,,,,,,,0.005762,-0.008985,,,0.06308,-0.004907,,,-0.002367,,,0.016672,0.050859,-0.035906,-0.003903,-0.035652,,,-0.020272,,-0.110324,-0.046282,0.062763,,0.09649,,,0.053829,0.39188,,-0.185638,,0.002522,,-0.026735,0.132467,0.05463,-0.024229,-0.007265,0.01377,0.04085,,,-0.021177,0.039004,0.004726,0.029536,0.057797,0.023953,,-0.017523,-0.055362,,-0.058775,0.031495,,,,,,0.048161,0.014561,,-0.070004,,,,,,0.014864,0.136215,-0.0048667,0.096754,0.231193,-0.074379,,,,0.01409,,0.016385,-0.026522,-0.03125,,,,,,-0.041304,,,,,,,,,,,0.0009663,-0.12532,,0.007617,,0.024719,0.061726,0.006856,-0.032834,0.017309,,,0.003137,0.016962,-0.005575,-0.044421,,-0.122424,-0.003562,0.013105,-0.010964,,-0.098832,0.006862,-0.005311,0.009623,,0.038282,-0.030536,,,0.013951,0.0175665,,,,-0.077027,0.03301,0.048787,0.028715,-0.07986,0.014099,0.01387,-0.023771,,,-0.007023,,0.002482,-0.007912,0.074577,-0.045535,0.127507,,-0.046205,,0.054135,,,,,,,,,,,,,,,,,-0.079306,0.072483,,,-0.009055,0.008116,,
1003,0.028325,,,-0.015784,0.088674,,-0.03556,,,,,,,,,-0.026224,-0.103517,0.046735,,,-0.02679,-0.044623,,,,,-0.074918,0.029936,,,,-0.067151,-0.100564,0.100492,-0.241603,0.014602,,,0.025024,0.109763,-0.256748,,,,,,0.139914,,-0.032491,0.075827,,,,,,0.017033,,-0.005134,,-0.111125,0.04038,0.104767,-0.054222,,,,,,,,,0.084809,,,,,,-0.154928,0.013006,,,,,,,,,,,0.074073,,,,0.025978,,,-0.038872,,,0.076108,,-0.014921,,,-0.030053,,,,,,,,,,,0.020834,-0.064744,,-0.022148,,,,-0.1854,,,,,,,-0.123243,0.016876,,,,,,-0.209589,0.098523,,,-0.006453,-0.125599,,,,0.034242,,-0.045555,,,,-0.093386,-0.017351,,0.065115,,,,,,,0.048619,,,0.095532,,0.154375,,,-0.021726,,,-0.319211,,,,,,,,,,0.021972,-0.007613,,,0.012472,-0.106525,,,0.013644,,,0.028108,-0.019067,-0.001623,0.009619,-0.048648,,,0.084617,,0.03598,-0.077465,0.014754,,0.045618,,,-0.113761,0.166632,,-0.093224,,0.0001158,,-0.062155,-0.016298,-0.085892,-0.066784,0.030474,0.006114,0.03035,,,-0.123665,-0.016922,0.108395,0.153499,0.131792,0.019479,,-0.014151,-0.022183,,-0.086273,-0.262313,,,,,,-0.084676,-0.024131,,-0.15574,,,,,,-0.088661,-0.01925,0.079289,-0.110499,-0.161513,0.069798,,,,-0.051408,,-0.031519,-0.133675,0.067439,,,,,,-0.011349,,,,,,,,,,,-0.002013,0.037515,,-0.051979,,0.012702,-0.120568,0.027749,-0.1034,-0.068879,,,-0.019872,0.125983,-0.048072,-0.037678,,0.046197,0.002024,-0.033953,-0.133791,,-0.10205,0.098788,-0.031598,-0.02711,,-0.085361,-0.053782,,,-0.033245,0.031807,,,,-0.174886,-0.04142,-0.058351,0.091687,-0.019755,0.040912,0.045191,-0.046441,,,-0.015309,,-0.042411,-0.132542,0.016094,-0.187587,-0.053819,,-0.081234,,0.219635,,,,,,,,,,,,,,,,,-0.110781,-0.098505,,,-0.073418,0.010889,,
