,A_101,A_102,A_103,A_201,A_202,A_203,A_205,A_206,A_207,A_210,A_211,A_214,A_216,A_220,A_264,A_301,A_302,A_1101,A_1102,A_1103,A_2301,A_2402,A_2403,A_2404,A_2407,A_2410,A_2501,A_2601,A_2603,A_2608,A_2901,A_2902,A_3001,A_3002,A_3004,A_3101,A_3103,A_3104,A_3201,A_3301,A_3303,A_3401,A_3402,A_3601,A_4027,A_4386,A_6601,A_6602,A_6801,A_6802,A_6817,A_6901,A_7401,A_7403,A_8001,B_702,B_705,B_801,B_1301,B_1302,B_1401,B_1402,B_1501,B_1502,B_1503,B_1504,B_1505,B_1506,B_1507,B_1508,B_1509,B_1510,B_1511,B_1512,B_1513,B_1515,B_1516,B_1517,B_1518,B_1520,B_1521,B_1524,B_1525,B_1526,B_1527,B_1529,B_1530,B_1531,B_1537,B_1801,B_1802,B_1803,B_1804,B_2702,B_2703,B_2704,B_2705,B_2706,B_2707,B_3501,B_3502,B_3503,B_3504,B_3505,B_3508,B_3509,B_3510,B_3512,B_3517,B_3519,B_3520,B_3521,B_3522,B_3541,B_3543,B_3701,B_3801,B_3802,B_3901,B_3902,B_3903,B_3905,B_3906,B_3908,B_3909,B_3910,B_3911,B_3915,B_3924,B_4001,B_4002,B_4004,B_4006,B_4009,B_4010,B_4012,B_4101,B_4102,B_4104,B_4201,B_4402,B_4403,B_4404,B_4405,B_4407,B_4501,B_4601,B_4701,B_4801,B_4802,B_4803,B_4901,B_5001,B_5002,B_5101,B_5102,B_5105,B_5106,B_5107,B_5108,B_5123,B_5201,B_5301,B_5401,B_5501,B_5502,B_5601,B_5603,B_5604,B_5701,B_5702,B_5703,B_5801,B_5802,B_5901,B_6701,B_7020,B_7301,B_7801,B_8101,B_8201,B_8202,C_102,C_202,C_210,C_302,C_303,C_304,C_305,C_306,C_401,C_403,C_407,C_501,C_602,C_701,C_702,C_704,C_726,C_801,C_802,C_804,C_1202,C_1203,C_1402,C_1403,C_1502,C_1504,C_1505,C_1601,C_1602,C_1604,C_1701,C_1801,DRB5_101,DRB5_102,DRB5_202,DRB5_9901,DRB4_101,DRB4_103,DRB4_9901,DRB3_101,DRB3_202,DRB3_210,DRB3_224,DRB3_301,DRB3_9901,DRB1_101,DRB1_102,DRB1_103,DRB1_301,DRB1_302,DRB1_401,DRB1_402,DRB1_403,DRB1_404,DRB1_405,DRB1_406,DRB1_407,DRB1_408,DRB1_410,DRB1_411,DRB1_701,DRB1_801,DRB1_802,DRB1_803,DRB1_804,DRB1_806,DRB1_807,DRB1_810,DRB1_811,DRB1_901,DRB1_1001,DRB1_1101,DRB1_1102,DRB1_1103,DRB1_1104,DRB1_1106,DRB1_1111,DRB1_1143,DRB1_1201,DRB1_1202,DRB1_1301,DRB1_1302,DRB1_1303,DRB1_1304,DRB1_1305,DRB1_1312,DRB1_1315,DRB1_1321,DRB1_1401,DRB1_1402,DRB1_1403,DRB1_1404,DRB1_1405,DRB1_1406,DRB1_1407,DRB1_1409,DRB1_1410,DRB1_1415,DRB1_1444,DRB1_1501,DRB1_1502,DRB1_1503,DRB1_1601,DRB1_1602,DQB1_201,DQB1_202,DQB1_301,DQB1_302,DQB1_303,DQB1_304,DQB1_401,DQB1_402,DQB1_501,DQB1_502,DQB1_503,DQB1_504,DQB1_601,DQB1_602,DQB1_603,DQB1_604,DQB1_605,DQB1_609,DQA1_101,DQA1_102,DQA1_103,DQA1_104,DQA1_201,DQA1_301,DQA1_302,DQA1_303,DQA1_401,DQA1_501,DQA1_503,DQA1_505,DQA1_509,DQA1_601,DPB1_101,DPB1_201,DPB1_202,DPB1_301,DPB1_401,DPB1_402,DPB1_501,DPB1_502,DPB1_601,DPB1_901,DPB1_902,DPB1_1001,DPB1_1101,DPB1_1301,DPB1_1401,DPB1_1501,DPB1_1601,DPB1_1701,DPB1_1801,DPB1_1901,DPB1_2001,DPB1_2101,DPB1_2201,DPB1_2301,DPB1_2601,DPB1_2801,DPB1_3001,DPB1_3101,DPB1_3301,DPB1_3401,DPB1_3501,DPB1_4001,DPB1_4501,DPB1_4801,DPB1_8101,DPB1_8501,DPA1_103,DPA1_104,DPA1_105,DPA1_107,DPA1_201,DPA1_202,DPA1_301,DPA1_401
1022,0.088393,,,0.071368,72.462863,,67.184047,,,,,,,,,0.129467,72.462873,0.335693,,,91.48466,0.269608,,,,,76.726507,96.530536,,,,0.579799,69.338035,61.694896,72.462863,0.711709,,,0.451952,63.130817,83.362595,,,,,,83.392589,,1.00229,87.84353,,,,,,0.139675,,0.112707,,1.005381,81.606935,0.58388,0.355746,,,,,,,,,72.462869,,,,,,84.15571,72.462864,,,,,,,,,,,0.709823,,,,81.347726,,,0.580299,,,0.450186,,73.496168,,,72.462867,,,,,,,,,,,65.641296,77.122883,,91.258536,,,,80.171793,,,,,,,0.410417,67.213865,,,,,,72.462863,72.462882,,,0.158615,0.355912,,,,1.042539,,84.403227,,,,1.017085,1.025353,,0.504,,,,,,,68.778664,,,0.587091,,66.581932,,,0.50317,,,86.233649,,,,,,,,,,0.413295,0.5038,,,0.280579,0.225989,,,0.195057,,,0.158551,0.1851,0.096488,0.122959,0.716174,,,0.383213,,97.523341,0.582218,86.863384,,0.7184,,,0.411451,81.06916,,72.462863,,0.12392,,75.120614,0.120527,0.279439,0.071036,0.055318,0.096497,0.131755,,,0.503534,0.057525,0.20632,1.029456,0.716765,0.10729,,0.198149,93.141548,,0.45112,69.13335,,,,,,0.132612,0.589679,,72.46287,,,,,,1.011277,1.058789,0.712859,84.075393,72.462868,70.757227,,,,1.011,,0.410901,0.580451,68.627492,,,,,,1.006107,,,,,,,,,,,0.123932,96.647509,,68.384469,,0.107292,0.711577,0.104971,0.162622,0.292138,,,0.510551,0.153051,82.013714,0.713988,,96.647738,0.12861,0.449627,1.003291,,0.73197,0.13372,0.0931,0.4105,,0.129482,0.088364,,,0.511081,0.08132,,,,72.46287,0.291497,0.2314,75.492824,0.269951,0.05351,0.194572,0.586527,,,95.372629,,1.008949,0.712444,62.451509,66.1,60.107845,,1.015948,,96.203732,,,,,,,,,,,,,,,,,0.097998,85.015842,,,0.122983,0.504913,,
1006,0.296326,,,0.213002,3956.0,,177.089142,,,,,,,,,0.359105,6523.0,176.805608,,,243.069821,0.58115,,,,,1.024326,154.53586,,,,251.504979,185.756462,165.195052,6523.0,245.397374,,,191.398959,168.373182,222.435736,,,,,,228.949096,,0.713728,2839.0,,,,,,0.383521,,0.383449,,188.150405,214.88724,253.130952,0.710536,,,,,,,,,1455.0,,,,,,229.328041,196.967736,,,,,,,,,,,1.004058,,,,2599.0,,,169.273294,,,1.003203,,193.556567,,,196.967744,,,,,,,,,,,172.537843,203.039797,,241.097424,,,,210.596804,,,,,,,1.00251,176.87414,,,,,,196.967734,196.96775,,,0.451783,1.002537,,,,189.92758,,229.213129,,,,214.256071,161.571459,,181.876913,,,,,,,184.615035,,,195.111979,,181.534774,,,1.003638,,,228.936966,,,,,,,,,,1.004195,183.558821,,,1.00251,0.710096,,,0.710123,,,0.383267,0.710025,0.38376,0.359455,209.919913,,,181.523197,,157.503492,1.005332,230.866472,,227.834178,,,1.003199,214.84952,,196.967734,,0.413222,,198.031097,0.413228,234.722104,0.189288,0.16089,0.28475,0.413545,,,178.975192,0.181139,0.45174,163.593452,218.791216,0.266103,,0.581008,4902.0,,1.003671,183.391042,,,,,,0.383675,220.023107,,196.96775,,,,,,167.194657,245.758685,0.717371,229.179513,196.967721,185.370922,,,,173.197044,,213.94446,180.32223,180.443217,,,,,,204.48879,,,,,,,,,,,0.41321,154.243511,,179.526625,,0.274919,236.403322,0.266834,0.503884,1.002727,,,187.837192,0.339208,217.051613,180.11463,,154.24385,0.383323,214.150748,248.745675,,224.96822,0.284571,0.308435,195.185074,,0.383675,0.285834,,,192.955141,0.228888,,,,196.96775,181.343912,0.504153,199.904993,0.710732,0.163351,1.000848,190.116489,,,154.67939,,245.258542,1.00638,165.372761,178.608139,162.629206,,204.353109,,155.598361,,,,,,,,,,,,,,,,,0.296353,233.535657,,,0.413406,213.962566,,
1067,0.727227,,,0.603733,535.41123,,6182.0,,,,,,,,,1.012358,535.411295,503.847894,,,419.560635,0.721728,,,,,350.451175,441.660028,,,,436.063902,525.907191,466.007562,10750.0,422.699814,,,546.165092,9715.0,12530.0,,,,,,12510.0,,357.524543,402.448948,,,,,,560.53236,,347.699454,,538.380684,7454.0,440.670565,1.011305,,,,,,,,,3956.0,,,,,,12530.0,10750.0,,,,,,,,,,,524.997199,,,,7540.0,,,483.275858,,,425.250107,,547.166712,,,10750.0,,,,,,,,,,,496.027276,7036.0,,418.075134,,,,362.39255,,,,,,,1.011145,6184.0,,,,,,17730.0,535.411311,,,452.334927,525.43365,,,,546.210428,,377.895083,,,,367.22646,5589.0,,523.193294,,,,,,,508.458832,,,555.705176,,10150.0,,,474.815329,,,12910.0,,,,,,,,,,539.458948,523.614127,,,1.011642,0.723622,,,1.011237,,,437.963777,555.849066,1.012692,525.6711,363.566443,,,520.762598,,440.024117,392.719897,396.535856,,396.595369,,,418.336106,12540.0,,17730.0,,569.627683,,562.172629,539.062549,1.010312,1.0205586,0.621295,1.012407,0.725114,,,507.43278,0.39335,1.012351,467.27721,377.833408,1.01246,,1.011436,8843.0,,493.966265,10230.0,,,,,,1.011503,380.773688,,17730.0,,,,,,476.513401,8389.0,470.60426,376.827995,17730.0,6466.0,,,,5980.45922,,370.838618,511.578058,519.297373,,,,,,353.913719,,,,,,,,,,,572.20052,440.380834,,510.196628,,1.012149,412.555695,0.725619,1.011765,355.051244,,,535.419994,1.013166,7512.0,513.54692,,440.380611,357.739659,371.037663,427.886103,,4648.0,1.014197,1.012578,556.852203,,1.011502,1.015558,,,550.768719,0.60162,,,,17730.0,518.010775,549.955877,561.737197,464.85314,0.3755873,0.722715,4014.0,,,8836.0,,426.235081,3341.0,468.679428,6067.20846,9188.0,,351.873913,,8782.0,,,,,,,,,,,,,,,,,0.72274,12930.0,,,0.72245,4482.0,,
1023,0.111872,,,0.088122,119.468051,,111.091348,,,,,,,,,0.174025,119.468061,0.410388,,,91.750644,0.29118,,,,,1.016032,1.009669,,,,0.709141,114.95224,102.323163,119.46805,1.003232,,,0.504347,104.61647,83.326482,,,,,,83.77207,,0.710508,88.150941,,,,,,0.18809,,0.143245,,117.562366,81.780992,0.712463,0.335935,,,,,,,,,119.468055,,,,,,84.077413,119.468052,,,,,,,,,,,115.095705,,,,81.060798,,,0.70956,,,0.450352,,73.480679,,,119.468054,,,,,,,,,,,108.508607,77.195082,,91.223458,,,,80.179634,,,,,,,0.449384,111.141752,,,,,,119.468051,119.468067,,,0.195018,0.3191,,,,1.041932,,84.29401,,,,80.811963,100.952282,,0.709998,,,,,,,113.461554,,,1.005514,,110.391105,,,0.503302,,,86.17872,,,,,,,,,,0.710058,0.503959,,,0.356315,0.335255,,,0.260532,,,0.182302,0.244866,0.128486,0.169319,1.006325,,,1.001623,,97.588555,0.582285,87.142937,,0.718384,,,0.450297,1.590478,,119.468051,,0.169352,,75.194849,0.157171,0.318392,0.090904,0.069541,0.125738,0.161079,,,1.001336,0.073246,0.290563,102.054295,82.996537,0.133612,,0.252044,93.380638,,0.580458,114.185354,,,,,,0.146,0.717123,,119.468057,,,,,,104.340694,92.046272,103.007679,84.307155,119.468055,116.913847,,,,1.011243,,0.579314,1.001397,113.294009,,,,,,77.692653,,,,,,,,,,,0.174118,96.424628,,112.828506,,0.131524,0.711658,0.1431,0.237891,0.380825,,,0.714525,0.215317,82.155957,1.004782,,96.424952,0.167174,0.579319,94.003374,,1.017115,0.194685,0.129424,0.50198,,0.14459,0.115152,,,0.714935,0.102798,,,,119.468057,0.449221,0.252315,75.451136,0.501535,0.067644,0.225917,119.186052,,,95.633959,,0.719615,1.003715,103.310515,109.274272,99.733727,,77.075289,,96.506504,,,,,,,,,,,,,,,,,0.138046,85.915148,,,0.160912,1.00241,,
1024,0.3076,,,0.173722,3956.0,,183.914866,,,,,,,,,0.412183,196.967731,182.507619,,,151.615597,0.580356,,,,,209.310116,160.308488,,,,0.504915,190.268623,168.937511,196.967701,153.324012,,,197.740439,172.947377,226.739124,,,,,,228.67601,,213.838757,146.031938,,,,,,0.358361,,0.503422,,194.623533,222.22039,159.124385,180.620806,,,,,,,,,196.967714,,,,,,228.736677,197.0,,,,,,,,,,,190.276411,,,,2679.0,,,175.032129,,,1.002357,,199.477268,,,196.967714,,,,,,,,,,,179.286927,210.33231,,150.594255,,,,218.243127,,,,,,,1.001952,183.438521,,,,,,6523.0,196.967738,,,0.450807,0.709917,,,,197.261186,,229.119827,,,,220.412884,166.422015,,1.002989,,,,,,,187.043754,,,1.006338,,182.531973,,,172.24261,,,142.031253,,,,,,,,,,1.003029,1.003013,,,0.580793,1.001683,,,1.00161,,,0.709352,0.503364,0.338741,0.35841,216.798587,,,188.276427,,160.89118,1.003754,143.926133,,143.63552,,,0.710486,219.969508,,10750.0,,0.412384,,204.748873,0.358448,0.709685,0.19698,0.156454,0.294664,0.503457,,,1.00281,0.159768,197.921643,168.357546,226.324952,0.358346,,0.412315,155.078219,,178.925842,188.538174,,,,,,0.358712,228.108359,,196.967718,,,,,,172.744495,152.084677,170.391372,229.322974,196.967716,192.888029,,,,178.190569,,1.002165,1.002839,187.760003,,,,,,212.0778,,,,,,,,,,,0.412389,159.436449,,186.414415,,0.358325,246.792973,0.2372,0.580157,212.051498,,,194.233904,0.580013,223.841505,186.261457,,159.436805,0.451,221.802651,1.004333,,228.849587,0.450665,0.2741,1.002026,,0.35868,0.250047,,,199.850037,0.22245,,,,196.967718,0.709807,0.503433,204.901585,0.5808,0.151603,0.503343,197.06929,,,3183.0,,153.989087,163.717354,170.793626,180.78978,164.716036,,209.885331,,159.627456,,,,,,,,,,,,,,,,,0.231582,142.493373,,,0.273496,220.691618,,
1050,0.221012,,,0.190125,3956.0,,182.834207,,,,,,,,,0.306194,3956.0,0.709497,,,151.837274,0.709435,,,,,209.609234,1.010001,,,,0.710359,190.298008,169.399515,3956.0,1.004018,,,1.002921,173.879194,136.640873,,,,,,137.624925,,213.745283,145.246743,,,,,,0.273121,,0.337878,,194.368564,135.46067,159.245462,0.580413,,,,,,,,,1455.0,,,,,,139.122056,3956.0,,,,,,,,,,,190.153205,,,,2720.0,,,174.933161,,,154.332141,,200.076768,,,196.967707,,,,,,,,,,,179.277119,210.504108,,151.322802,,,,132.703652,,,,,,,1.001783,184.284215,,,,,,6523.0,196.967749,,,0.579793,0.451181,,,,196.677399,,139.156305,,,,133.370844,167.503066,,189.19741,,,,,,,187.28506,,,200.905052,,3668.0,,,172.403875,,,142.837215,,,,,,,,,,1.002858,1.002835,,,1.00183,0.709264,,,1.001422,,,0.579801,0.450485,0.256246,0.273215,131.490798,,,1.002912,,161.255524,142.828229,144.401583,,143.681591,,,0.710216,136.031898,,196.967699,,0.382028,,204.81642,0.357957,0.580052,0.1817,0.13934,0.24906,0.357862,,,184.493447,0.144425,0.502899,168.905538,137.193616,0.306587,,0.502975,156.543643,,178.884509,187.956387,,,,,,0.293707,138.507518,,196.967714,,,,,,172.642449,151.459986,170.078416,139.265975,6523.0,193.006255,,,,178.369797,,1.002028,185.964497,187.039849,,,,,,211.449833,,,,,,,,,,,0.382074,160.057325,,185.68765,,0.293968,149.292343,0.306546,0.450369,1.001901,,,194.300068,0.381676,135.763833,185.779351,,160.057336,0.382052,1.002028,155.366883,,138.801292,0.293606,0.273286,1.001889,,0.293683,0.20778,,,200.02326,0.186337,,,,196.967714,0.580363,0.50307,205.487662,168.832808,0.13565,0.41197,196.830248,,,157.847616,,154.393296,163.558891,170.643761,180.429741,165.265419,,210.077325,,159.649946,,,,,,,,,,,,,,,,,0.29404,142.014546,,,0.357642,1.003287,,
1019,0.239914,,,0.222435,3956.0,,182.903854,,,,,,,,,0.413465,6523.0,181.381579,,,248.559624,0.452369,,,,,208.236763,1.011887,,,,258.656837,188.872583,167.306212,6523.0,251.595423,,,1.003636,171.474534,227.031736,,,,,,228.590077,,212.459603,239.282244,,,,,,0.3232,,0.359711,,193.128951,221.276404,260.311023,1.002467,,,,,,,,,1455.0,,,,,,4602.0,196.967715,,,,,,,,,,,189.109796,,,,219.288047,,,173.840148,,,252.782701,,199.021812,,,3956.0,,,,,,,,,,,178.023794,209.8,,247.289244,,,,217.973427,,,,,,,0.710538,182.461362,,,,,,6523.0,10750.0,,,0.5043,1.002438,,,,195.773406,,229.337953,,,,218.96335,165.637518,,1.00358,,,,,,,187.103218,,,200.254991,,181.319742,,,0.711567,,,233.77778,,,,,,,,,,1.0036,188.9,,,0.7106,0.710196,,,215.332841,,,0.452028,0.581072,0.275677,0.323454,215.559977,,,186.880657,,160.768717,233.784339,235.471251,,235.015885,,,248.209336,220.946107,,10750.0,,0.323292,,204.199714,0.30902,1.002174,0.19598,0.161765,0.308613,0.383627,,,183.535792,0.1982,0.710224,167.145926,225.190596,0.383568,,0.5812,253.471492,,1.003374,188.261535,,,,,,0.35995,1.009009,,10750.0,,,,,,171.4,250.311276,169.349602,228.244979,196.967727,191.670062,,,,176.854927,,0.581954,184.988816,186.670009,,,,,,210.694121,,,,,,,,,,,0.3233,159.495844,,185.81689,,0.383586,244.504861,0.3233,0.58107,0.453024,,,1.006937,0.413502,222.847058,184.922528,,159.495833,0.340072,0.581952,255.067687,,228.323372,0.38367,0.285637,0.581709,,0.384,0.2531,,,1.007299,0.245361,,,,10750.0,0.710454,0.383886,205.33076,1.00253,0.167,177.132278,195.855711,,,258.666827,,252.671032,162.790439,169.698687,180.112426,164.195672,,208.891284,,158.728051,,,,,,,,,,,,,,,,,0.383734,232.188354,,,0.504128,219.7,,
1087,0.728582,,,0.545691,216000.0,,42660.0,,,,,,,,,0.610071,216000.0,5534.0,,,20450.0,1.014456,,,,,28940.0,21720.0,,,,8007.0,25690.0,36630.0,216000.0,12770.0,,,9956.04216,67670.0,140100.0,,,,,,151700.0,,10820.0,54400.0,,,,,,2288.0,,2331.0,,16240.0,30210.0,13400.0,5526.7405,,,,,,,,,216000.0,,,,,,151700.0,216000.0,,,,,,,,,,,9577.0,,,,139800.0,,,8759.75087,,,7747.0,,44470.0,,,216000.0,,,,,,,,,,,24880.0,49250.0,,55140.0,,,,49770.0,,,,,,,6092.0,42120.0,,,,,,216000.0,216000.0,,,1.014551,5825.0,,,,43990.0,,152600.0,,,,29440.0,37960.0,,9602.0,,,,,,,108300.0,,,16650.0,,123000.0,,,8702.0,,,86190.0,,,,,,,,,,9802.0,9554.0,,,6088.0,4239.17635,,,4019.73287,,,2945.0,3740.0,1904.0,1.023852,17990.0,,,9565.0,,98020.0,11870.0,31260.0,,19990.0,,,7663.0,140200.0,,216000.0,,0.607299,,48460.0,0.60807,4489.0,1383.30048,1.02253,2007.0,2602.1009,,,9272.0,0.505745,1.01514,38780.0,18850.0,1.01585,,3183.0,98450.0,,8978.06925,72520.0,,,,,,2318.0,19050.0,,216000.0,,,,,,23470.0,56870.0,14230.0,139400.0,216000.0,44520.0,,,,24390.0,,6775.41963,9360.0,42790.0,,,,,,17780.0,,,,,,,,,,,0.606399,96590.0,,72560.0,,1.01538,12470.0,1.017906,3242.0,6447.0,,,16120.0,1.01582,51320.0,15440.0,,96590.0,0.6084,6765.22767,12930.0,,30640.0,1.016266,0.610136,6162.86444,,2320.0,1664.0,,,16620.0,0.74175,,,,216000.0,5752.0,3687.0,47190.0,5182.0,0.41776,1.01466,16490.0,,,92210.0,,21040.0,13460.0,23820.0,37670.0,61680.0,,28320.0,,61160.0,,,,,,,,,,,,,,,,,0.728413,89500.0,,,0.727905,11100.0,,
1002,0.052186,,,0.038297,196.96768,,1.041558,,,,,,,,,0.068804,196.967681,0.147281,,,0.527845,0.12979,,,,,0.740425,1.015102,,,,0.201942,0.615546,55.472908,196.967711,0.366243,,,0.288017,0.858545,127.787131,,,,,,138.499343,,0.454255,49.646694,,,,,,0.0723774,,0.070285,,0.426345,1.027388,0.347613,0.158567,,,,,,,,,196.967711,,,,,,139.061038,196.96768,,,,,,,,,,,0.260654,,,,128.833683,,,0.297046,,,0.273979,,1.061773,,,196.96768,,,,,,,,,,,1.014571,1.048361,,50.898432,,,,45.67413,,,,,,,0.185836,1.046986,,,,,,196.96768,196.967713,,,0.092389,0.137092,,,,1.066113,,139.261873,,,,0.752051,1.03708,,0.310076,,,,,,,98.750286,,,1.007963,,1.256363,,,0.284915,,,78.292346,,,,,,,,,,0.361836,0.260562,,,0.228666,0.12339,,,0.117765,,,0.091162,0.102662,0.056175,0.067819,0.593813,,,0.28647,,89.072501,0.388246,47.169065,,0.52052,,,0.186507,128.930675,,196.96768,,0.073023,,44.347617,0.069475,0.130165,0.042574,0.031849,0.062329,0.078795,,,0.323974,0.032679,0.110092,58.699696,0.594188,0.067951,,0.094035,90.391227,,0.286442,66.21559,,,,,,0.066313,0.469799,,196.96768,,,,,,0.534361,1.087187,0.3931849,2.856157,196.967711,41.041347,,,,0.534991,,0.229847,0.340694,1.051356,,,,,,0.516691,,,,,,,,,,,0.0738792,89.500412,,66.380664,,0.067946,0.303112,0.058892,0.098798,0.19937,,,0.398409,0.081109,46.859627,0.463415,,89.500162,0.074707,0.229879,0.509081,,0.757354,0.070087,0.055688,0.209775,,0.066193,0.049349,,,0.427425,0.0459676,,,,196.96768,0.174851,0.113293,1.046355,0.136253,0.029882,0.092921,0.396788,,,87.62418,,0.72525,0.393237,0.441764,57.714198,56.986632,,0.745191,,55.897279,,,,,,,,,,,,,,,,,0.052776,83.434007,,,0.065162,0.363223,,
1003,0.038022,,,0.02932,43.953953,,41.101573,,,,,,,,,0.05328,43.953956,0.117696,,,0.717638,0.106314,,,,,0.727173,0.331001,,,,0.223399,1.01194,0.745688,43.953954,0.2984,,,0.249784,1.08301,1.433241,,,,,,30.778632,,0.210429,1.049621,,,,,,0.050486,,0.04902,,0.347576,0.532109,0.270692,0.112511,,,,,,,,,43.953955,,,,,,30.950216,43.953953,,,,,,,,,,,0.186028,,,,30.2522,,,0.187451,,,0.151903,,0.75118,,,43.953954,,,,,,,,,,,0.338855,0.645703,,33.829574,,,,1.036906,,,,,,,0.137537,41.095696,,,,,,43.953953,43.953959,,,0.065085,0.13191,,,,1.036283,,31.049998,,,,0.72862,1.023457,,0.236506,,,,,,,41.71737,,,0.306048,,40.515586,,,0.202851,,,31.856856,,,,,,,,,,0.20863,0.204275,,,0.127766,0.09771,,,0.08426,,,0.063097,0.090519,0.041842,0.048473,0.422154,,,0.186112,,35.992827,0.323866,0.732859,,0.716589,,,0.164784,30.233918,,43.953953,,0.0523687,,45.748833,0.049618,0.101118,0.033121,0.024901,0.043451,0.056664,,,0.215664,0.0247,0.072005,1.025943,0.370765,0.047771,,0.074223,34.991196,,0.224866,41.972853,,,,,,0.054365,0.352309,,43.953955,,,,,,0.720877,1.053828,0.280699,30.890247,43.953955,1.031886,,,,0.520972,,0.150141,0.21577,1.032051,,,,,,0.319654,,,,,,,,,,,0.052564,35.707213,,41.679141,,0.047592,0.241366,0.041724,0.079089,0.142964,,,0.294194,0.056054,30.315494,0.303454,,35.707104,0.054346,0.143476,0.298591,,0.533544,0.048338,0.041339,0.138846,,0.0545,0.039537,,,0.295073,0.033582,,,,43.953955,0.120001,0.084729,46.013666,0.121295,0.02275,0.070038,0.304965,,,35.318318,,0.515799,0.312503,0.59316,40.247132,0.815156,,1.013939,,1.058697,,,,,,,,,,,,,,,,,0.04077,0.957284,,,0.052006,0.238724,,
