,phenotype,Allelotype_pair,estimate_add1,se_add1,z_add1,p_add1,estimate_add2,se_add2,z_add2,p_add2,estimate_int,se_int,z_int,p_int,adj_p_add1,adj_p_add2,adj_p_int,disease
0,HC295,DRB1_301-DQB1_201,0.14773889999999998,0.1450899,1.018,0.309,-0.09712960000000001,0.145372,-0.6679999999999999,0.504,0.0422205,0.0407068,1.037,0.3,1.0,1.0,1.0,carpal tunnel syndrome
1,HC295,DRB1_301-DRB3_101,0.08640419999999999,0.046588199999999996,1.855,0.0636,0.023011700000000003,0.0392147,0.5870000000000001,0.5573,0.0015024,0.037829,0.04,0.9683,0.651597,1.0,1.0,carpal tunnel syndrome
2,HC295,DRB1_301-A_101,0.043129,0.033944,1.271,0.2039,0.021372,0.027094,0.789,0.4302,0.059623,0.034033999999999995,1.7519999999999998,0.0798,1.0,1.0,1.0,carpal tunnel syndrome
3,HC295,DQB1_201-DRB3_101,0.06524500000000001,0.045692,1.4280000000000002,0.153,0.021127,0.038731,0.545,0.585,0.018975,0.037509,0.506,0.613,1.0,1.0,1.0,carpal tunnel syndrome
4,HC295,DQB1_201-A_101,0.0363386,0.0337877,1.075,0.2822,0.022298500000000002,0.0270336,0.825,0.4095,0.0647193,0.0339726,1.905,0.0568,1.0,1.0,1.0,carpal tunnel syndrome
5,HC295,DRB3_101-A_101,0.030577099999999996,0.031198400000000005,0.98,0.327,0.031036,0.027496100000000002,1.129,0.259,0.054629,0.032782900000000004,1.666,0.0956,1.0,1.0,1.0,carpal tunnel syndrome
6,HC150,DQA1_501-DQB1_201,-0.141101,0.097048,-1.454,0.146,0.125727,0.215533,0.583,0.56,-0.240116,0.167266,-1.436,0.151,1.0,1.0,1.0,rosacea
7,HC151,DRB5_101-DRB1_1501,0.528071,0.467816,1.129,0.259,0.652714,0.466158,1.4,0.1615,-0.168607,0.065849,-2.56,0.0105,1.0,1.0,0.950231178,multiple sclerosis
8,HC151,DRB5_101-DRB5_9901,0.49208100000000005,0.21781799999999998,2.259,0.0239,-0.349883,0.211048,-1.6580000000000001,0.0973,0.16830599999999998,0.065613,2.565,0.0103,0.24747997300000002,1.0,0.937419155,multiple sclerosis
9,HC151,DRB5_101-DQB1_602,1.12,0.21100000000000002,5.319,1.04e-07,0.00474,0.221,0.021,0.9829,-0.134,0.0668,-2.006,0.0449,1.34e-06,1.0,1.0,multiple sclerosis
10,HC151,DRB5_101-DQA1_102,1.0084229999999998,0.126896,7.947,1.9100000000000003e-15,0.156611,0.094701,1.6540000000000001,0.0982,-0.146991,0.065361,-2.249,0.0245,3.69e-14,1.0,1.0,multiple sclerosis
11,HC151,DRB5_101-DRB4_9901,1.53,0.151,10.132,2e-16,0.35,0.0555,6.3020000000000005,2.9399999999999997e-10,-0.402,0.085,-4.734,2.2e-06,4.0600000000000005e-15,1.6e-08,0.001000317,multiple sclerosis
12,HC151,DRB5_101-B_702,0.9755209999999999,0.058385,16.708,2e-16,-0.12475599999999999,0.083729,-1.49,0.136,0.0037479999999999996,0.06953200000000001,0.054000000000000006,0.9570000000000001,4.0600000000000005e-15,1.0,1.0,multiple sclerosis
13,HC151,DRB5_101-DRB4_103,0.7961246,0.0475851,16.730999999999998,2e-16,-0.3405187,0.0634376,-5.367999999999999,7.969999999999999e-08,0.3459979,0.099936,3.4619999999999997,0.000536,4.0600000000000005e-15,2.76e-06,0.106167964,multiple sclerosis
14,HC151,DRB5_101-C_702,0.98559,0.058306,16.904,2e-16,-0.11552799999999999,0.080072,-1.443,0.149,-0.013425999999999999,0.068499,-0.196,0.845,4.0600000000000005e-15,1.0,1.0,multiple sclerosis
