phenotype,frequency
HC138,43
HC139,1429
HC134,1517
HC135,5160
HC136,2667
HC137,72
HC130,205
HC131,2768
HC132,19332
HC133,2851
HC422,1236
1068,248
1060,17400
1063,212
1065,538
1064,191
1067,60
1066,25
1087,46
1086,103
1085,1888
1084,2541
1082,55
1081,28
1080,16
1088,18
HC29,8
HC28,2058
HC25,20384
HC24,340
HC27,130
HC26,175
HC21,203
HC20,85
HC23,69
HC22,9599
HC2,174
HC3,540
HC0,1101
HC1,3788
HC6,2763
HC7,9130
HC4,1117
HC5,307
HC8,1697
HC9,282
1018,593
1019,343
1015,134
1017,693
1010,63
1011,329
1012,54
HC251,253
HC250,275
HC253,1234
HC252,276
HC255,1152
HC254,1154
HC257,615
HC256,491
HC259,1669
HC258,50
HC392,2205
HC393,68
HC394,125
HC395,2127
HC396,2562
HC397,574
HC424,2111
HC376,30852
HC377,84
HC374,2902
HC375,500
HC372,57
HC373,889
HC370,611
HC371,5243
HC378,13
HC379,739
HC358,202
HC425,28
HC359,213
HC105,405
HC104,990
HC107,1022
HC106,5864
HC101,540
HC100,125
HC103,360
HC102,741
HC350,93
HC109,1465
HC108,14
HC351,542
HC170,878
HC171,826
HC172,585
HC173,387
HC174,75
HC175,15
HC176,6098
HC177,335
HC178,1270
HC179,8197
HC61,20872
HC60,9934
HC63,225
HC62,1799
HC65,0
HC64,12000
HC67,115
HC66,58
HC69,526
HC68,623
1050,519
1051,19
1052,464
1053,1511
1055,613
1056,437
1059,4252
HC14,304
HC15,5337
HC16,1095
HC17,770
HC10,259
HC11,256
HC12,502
HC13,148
HC18,90
HC19,16
HC338,373
HC339,6157
HC332,325
HC333,107
HC330,216
HC331,2736
HC336,48
HC337,325
HC334,1651
HC335,6
HC208,415
HC209,2495
HC206,1150
HC207,66
HC204,2015
HC205,5605
HC202,1123
HC203,5214
HC200,1893
HC201,3275
HC149,1037
HC148,60
HC141,23
HC140,1838
HC143,613
HC142,4474
HC145,80
HC144,2513
HC147,64
HC146,4641
HC58,2480
HC59,409
HC50,7
HC51,311
HC52,1243
HC53,702
HC54,699
HC55,3783
HC56,226
HC57,4813
HC419,384
HC418,4487
HC417,437
HC416,33
HC415,1267
HC414,1377
HC413,308
HC412,309
HC411,87
HC410,278
1009,29
1008,17
1007,64
1006,377
1005,125
1004,692
1003,19864
1002,12126
1001,2109
HC242,308
HC243,14485
HC240,1549
HC241,210
HC246,632
HC247,322
HC244,56
HC245,18
HC248,288
HC249,157
HC343,50
HC342,601
HC341,164
HC340,1154
HC347,538
HC346,1228
HC345,94
HC344,360
HC349,42
HC348,349
HC116,1423
HC117,585
HC114,564
HC115,217
HC112,108
HC113,714
HC110,6090
HC111,95
HC118,9203
HC119,3126
HC383,753
HC189,75
HC188,15642
HC185,6534
HC184,1136
HC187,117
HC186,48
HC181,349
HC180,925
HC183,26
HC182,1107
HC382,45581
HC98,1637
HC99,95
HC423,1961
HC94,98
HC95,3959
HC96,1494
HC97,59
HC90,200
HC91,991
HC92,104
HC93,704
HC421,501
HC426,1
HC427,2922
1043,139
1042,60
1041,2929
1040,1697
1047,1965
1046,71
1045,713
1044,6680
1048,903
HC428,291
HC429,261
HC420,333
HC444,177
HC445,476
HC440,12711
HC441,342
HC442,7706
HC443,3060
HC239,4672
HC238,90
HC233,1004
HC232,544
HC231,2413
HC230,331
HC237,6116
HC236,64
HC235,50
HC234,1666
HC158,3128
HC159,29
HC152,164
HC153,8085
HC150,910
HC151,1552
HC156,4769
HC157,349
HC154,268
HC155,1917
HC307,1138
HC306,369
HC305,149
HC304,330
HC303,2176
HC302,3374
HC301,139
HC300,267
HC309,151
HC308,1155
HC49,21262
HC48,390
HC43,14783
HC42,1462
HC41,21164
HC40,549
HC47,437
HC46,169
HC45,1246
HC44,1028
HC408,359
HC409,57
HC400,2927
HC401,10579
HC402,3263
HC403,4
HC404,12108
HC405,2106
HC406,2470
HC407,41
1038,3560
1039,1278
1032,580
1033,63
1030,226
1031,48
1036,82
1037,5181
1034,1136
1035,2062
HC398,1135
HC399,74
HC279,51
HC278,499
HC277,368
HC276,6122
HC275,594
HC274,3462
HC273,67335
HC272,33
HC271,687
HC270,421
HC390,468
HC391,242
HC295,8527
HC294,7472
HC297,24
HC296,373
HC291,538
HC290,1834
HC293,534
HC292,245
HC354,52
HC355,1016
HC356,318
HC357,3781
HC299,4929
HC298,4548
HC352,506
HC353,1460
HC123,2916
HC122,412
HC121,2711
HC120,32
HC127,96
HC126,324
HC125,16827
HC124,209
HC129,2885
HC128,199
HC198,729
HC199,37
HC196,795
HC197,343
HC194,659
HC195,905
HC192,52
HC193,1937
HC190,66
HC191,208
