ALL_ID	posterior_mean	posterior_sd	posterior_prob	GBE_ID
B_1402	0.105265176229186	0.0307998711685042	14.6	cancer1003
B_4001	-0.0978772871256498	0.0240864344125903	75.4	cancer1003
B_4403	-0.117868175002749	0.022947037118105	100	cancer1003
C_304	0	0	0	cancer1003
C_802	0.0958590772619061	0.0261446317130678	48.1	cancer1003
C_1601	0	0	0	cancer1003
DRB4_103	0	0	0	cancer1003
DRB4_9901	0	0	0	cancer1003
DRB1_101	0	0	0	cancer1003
DRB1_404	0	0	0	cancer1003
DRB1_701	0	0	0	cancer1003
DQB1_302	-0.0971643127736163	0.0213093031250145	100	cancer1003
DQB1_501	0.108294089123218	0.0152593524978886	100	cancer1003
DQB1_604	-0.124577409163898	0.0325726766682707	24.6	cancer1003
DQA1_101	0	0	0	cancer1003
DQA1_201	0	0	0	cancer1003
DQA1_301	0	0	0	cancer1003
DRB4_103	0	0	0	cancer1037
DRB4_9901	0	0	0	cancer1037
DRB1_401	0	0	0	cancer1037
DQB1_501	-0.106245186652424	0.0332103497399878	25.4	cancer1037
DQA1_301	0.14622730953387	0.026880905227392	100	cancer1037
DRB4_103	0	0	0	cancer1041
DRB4_9901	0	0	0	cancer1041
DRB3_9901	0.177720445670754	0.0305039134254971	100	cancer1041
DRB1_101	0	0	0	cancer1041
DQB1_501	-0.279428991574584	0.0473484657635628	100	cancer1041
DQA1_301	0	0	0	cancer1041
DPB1_402	0	0	0	cancer1041
B_801	0	0	0	cancer1047
C_701	0	0	0	cancer1047
DRB1_301	0.211286967995171	0.0406147947257002	44.2	cancer1047
DQB1_201	0.212969943604141	0.0405689572203841	55.8	cancer1047
B_801	0	0	0	cancer1053
C_701	0	0	0	cancer1053
DRB1_101	0	0	0	cancer1053
DRB1_301	0.262227554324267	0.0465095095481096	41.2	cancer1053
DQB1_201	0.265043879057951	0.0464547327900643	58.8	cancer1053
DQB1_501	0.270943218514687	0.0510558006632945	100	cancer1053
A_101	0.0490157988079485	0.0137091399250109	45.4	cancer1060
B_1402	0.121388814242259	0.0327476662820626	21.7	cancer1060
B_4001	-0.112432873208306	0.0262181866789548	100	cancer1060
B_4403	-0.126120026539701	0.0258134091614937	100	cancer1060
C_304	0	0	0	cancer1060
C_802	0.11180602541255	0.0279756060799181	67.2	cancer1060
C_1601	0	0	0	cancer1060
DRB4_101	0	0	0	cancer1060
DRB4_103	0	0	0	cancer1060
DRB4_9901	0	0	0	cancer1060
DRB1_101	0	0	0	cancer1060
DRB1_103	0	0	0	cancer1060
DRB1_404	0	0	0	cancer1060
DRB1_701	0	0	0	cancer1060
DQB1_302	-0.0882464932914951	0.020923598678079	100	cancer1060
DQB1_501	0.12146674700447	0.0163410553147257	100	cancer1060
DQA1_101	0	0	0	cancer1060
DQA1_201	0	0	0	cancer1060
DQA1_301	0	0	0	cancer1060
DRB4_103	0	0	0	HC1020
DRB3_9901	0	0	0	HC1020
DQB1_302	0.0743160072635014	0.012986968692594	100	HC1020
DQA1_301	0	0	0	HC1020
A_2902	0	0	0	HC1021
B_4403	0.0931948610713152	0.0195501499441475	100	HC1021
C_1601	0	0	0	HC1021
DRB5_101	0	0	0	HC1021
DRB5_9901	0	0	0	HC1021
DRB4_101	0	0	0	HC1021
DRB3_9901	0.0550018504251756	0.0112130446805137	100	HC1021
DRB1_401	0	0	0	HC1021
DRB1_404	-0.172510822785506	0.0256236057790527	100	HC1021
DRB1_701	0	0	0	HC1021
DRB1_1301	-0.149021396165193	0.0238251695388885	6.7	HC1021
DRB1_1501	0	0	0	HC1021
DQB1_602	0	0	0	HC1021
DQB1_603	-0.150533188205159	0.0242268177428335	57.3	HC1021
DQA1_101	-0.090572982065939	0.0137200953263887	100	HC1021
DQA1_103	-0.150498277585076	0.0242338445080492	36.1	HC1021
DQA1_201	0	0	0	HC1021
DPB1_101	0.0642200948265774	0.0190358212130094	29.3	HC1021
DPB1_301	-0.110242471618653	0.018936750816842	100	HC1021
DPA1_201	0	0	0	HC1021
DRB3_9901	0.0818602787067294	0.018334347891933	100	HC1023
DRB1_404	0.132985972641045	0.0384439035755033	30.9	HC1023
DQA1_301	0.0649727277469773	0.0205001584608665	14.1	HC1023
B_801	0.172414322608034	0.0297303270068385	100	HC1024
B_4001	0	0	0	HC1024
DRB5_101	0	0	0	HC1024
DRB5_9901	0	0	0	HC1024
DRB4_103	0	0	0	HC1024
DRB4_9901	0	0	0	HC1024
DRB3_202	0	0	0	HC1024
DRB1_401	-0.174050914089423	0.0463062669968175	67.3	HC1024
DRB1_404	0	0	0	HC1024
DRB1_701	0	0	0	HC1024
DRB1_901	0	0	0	HC1024
DRB1_1301	-0.240582969974066	0.0575171357880573	49.8	HC1024
DRB1_1501	0	0	0	HC1024
DQB1_302	0	0	0	HC1024
DQB1_602	0	0	0	HC1024
DQB1_603	-0.230684645302681	0.0573702238584498	23.8	HC1024
DQA1_102	0	0	0	HC1024
DQA1_103	-0.23238636848605	0.0574578065543595	26.4	HC1024
DQA1_201	0	0	0	HC1024
DQA1_301	0.375501200471458	0.0587130199508964	100	HC1024
B_801	0.0547382242777182	0.0112051198168891	100	HC1036
C_401	0	0	0	HC1036
DRB4_103	0	0	0	HC1036
DRB4_9901	0	0	0	HC1036
DRB1_101	0	0	0	HC1036
DRB1_301	0	0	0	HC1036
DRB1_401	0.145009652810364	0.012630930297916	100	HC1036
DRB1_1301	0	0	0	HC1036
DRB1_1302	0	0	0	HC1036
DQB1_201	0	0	0	HC1036
DQB1_301	0	0	0	HC1036
DQB1_302	0	0	0	HC1036
DQB1_501	0	0	0	HC1036
DQB1_603	0	0	0	HC1036
DQB1_604	-0.115699475574935	0.0258860575148837	100	HC1036
DQA1_101	-0.13284148002909	0.0121235850535817	100	HC1036
DQA1_102	-0.0591031066119669	0.011244678335408	100	HC1036
DQA1_103	-0.177743443790062	0.018406678269225	100	HC1036
DQA1_301	0	0	0	HC1036
DQA1_501	0	0	0	HC1036
DRB1_701	-0.168704402156553	0.0431636516147773	57	HC1038
DRB1_1501	0	0	0	HC1038
DQA1_201	-0.16270847095013	0.0430478407772765	33.7	HC1038
DPB1_401	0.106785827391003	0.0285215943000681	67.5	HC1038
B_801	-0.0437080407880962	0.0108373803635745	44.2	HC1080
C_701	-0.0407919050245882	0.00996688064448849	55.8	HC1080
A_101	-0.0646126980337758	0.0183672139566977	34.3	HC1094
B_801	-0.0804840685875851	0.0162089714983941	13.8	HC1094
C_701	0	0	0	HC1094
DRB3_101	-0.0732759353127996	0.0151860697945687	6.7	HC1094
DRB1_301	-0.0765055888778981	0.0190941114005342	34	HC1094
DQB1_201	-0.0743449160284115	0.0194109579990987	23.7	HC1094
DQA1_501	0	0	0	HC1094
DRB1_103	1.10930866544939	0.0762421713888823	100	HC1101
DRB1_1302	0.339151505684107	0.0740565120953321	100	HC1101
A_101	0	0	0	HC1102
A_201	0.110307263983564	0.0273986706498999	93.1	HC1102
DRB5_101	0.161320574204649	0.034283924578843	33	HC1102
DRB5_9901	-0.152497168298021	0.0339142678632469	13.1	HC1102
DRB4_103	0	0	0	HC1102
DRB4_9901	0	0	0	HC1102
DRB1_103	0.964751369864651	0.0616703269082118	100	HC1102
DRB1_404	-0.367959199869372	0.0935897339028829	32.9	HC1102
DRB1_1501	0.158373154393478	0.0344449191263527	20.2	HC1102
DQB1_302	-0.319713761459601	0.0510706675490996	67.1	HC1102
DQB1_501	0	0	0	HC1102
DQB1_602	0.161700848968734	0.0343281043523512	33.7	HC1102
DQA1_101	0	0	0	HC1102
DQA1_301	-0.156126012958114	0.0375984163364067	32.9	HC1102
DRB4_103	0.0554210717123555	0.0103628617127057	100	HC1106
DRB4_9901	0	0	0	HC1106
DRB1_401	0	0	0	HC1106
DRB1_1101	-0.110533027053467	0.0294045435626611	72.1	HC1106
DQA1_301	0	0	0	HC1106
