GBE_ID	BETA	SE	Z_STAT	P	AIC	LOCUS	BY_ADJ_P	u95_BETA	l95_BETA	OR	CI	GBE_NAME
HC303	-0.466440595934552	0.0237681197940103	-19.6246316484865	9.526501753440275e-86	26936.957633295297	DRB3	7.67458638477591e-81	-0.41985508113829184	-0.5130261107308122	0.6272308677874995	0.63 [0.6, 0.66]	malabsorption/coeliac_disease
HC1132	-0.358411040483494	0.0204838032583277	-17.497289734892398	1.50250674288535e-68	32403.1544519801	DRB3	6.0521260009308815e-64	-0.3182627860971717	-0.3985592948698163	0.6987857867193805	0.7 [0.67, 0.73]	TTE_intestinal_malabsorption
HC810	-0.376512513555468	0.0222993590636775	-16.8844545029437	5.855502597683937e-64	20091.234476424	DRB5	1.1793038429866607e-59	-0.3328057697906601	-0.4202192573202759	0.6862505301989646	0.69 [0.66, 0.72]	TTE_multiple_sclerosis
HC648	0.335687378460874	0.0242848342630776	13.8229223565774	1.8538810904473197e-43	31710.530538010098	DRB5	2.986987447013797e-39	0.3832856536165061	0.2880891033052419	1.3989016296643693	1.4 [1.33, 1.47]	TTE_insulin-dependent_diabetes_mellitus
HC303	-0.264629083173658	0.0197018892517081	-13.4316602734286	3.94467207506824e-41	27200.503919863706	DPA1	5.2964049454270715e-37	-0.22601338024031015	-0.3032447861070059	0.7674905723543229	0.77 [0.74, 0.8]	malabsorption/coeliac_disease
HC303	0.229500152600734	0.0173772373962877	13.2069412051516	8.001016445935829e-40	27151.4658633757	DQB1	9.208070806739952e-36	0.2635595378974579	0.1954407673040101	1.257971059190589	1.26 [1.22, 1.3]	malabsorption/coeliac_disease
HC1132	-0.2210485779259	0.0178274259954654	-12.3993546786915	2.6343657491945893e-35	32584.000401893598	DPA1	2.652818951089213e-31	-0.1861068229747878	-0.25599033287701217	0.8016777355026435	0.8 [0.77, 0.83]	TTE_intestinal_malabsorption
HC645	-0.174283240736311	0.0151947920957616	-11.469932568865099	1.86804791132338e-30	47737.3147744846	DRB3	1.6721184097678056e-26	-0.14450144822861827	-0.2040650332440037	0.8400589250497782	0.84 [0.82, 0.87]	TTE_thyrotoxicosis_[hyperthyroidism]
HC303	0.18518684035584695	0.0162383742944358	11.404272188706901	3.9809277317328685e-30	27153.608266360498	DRB1	3.207050663450598e-26	0.21701405397294113	0.15335962673875278	1.2034432708922864	1.2 [1.17, 1.24]	malabsorption/coeliac_disease
HC303	0.17165716845275902	0.0160949354880586	10.665290866193098	1.4793544453595e-26	27237.905566831407	B	9.931446836814735e-23	0.20320324200935388	0.14011109489616416	1.1872707295726943	1.19 [1.15, 1.23]	malabsorption/coeliac_disease
HC1132	0.172041296992137	0.0162526733470426	10.5854152925212	3.4823307720538196e-26	32590.820937890498	DQB1	2.15798387586254e-22	0.20389653675234048	0.1401860572319335	1.187726881748817	1.19 [1.15, 1.23]	TTE_intestinal_malabsorption
HC1036	-0.0521178931803463	0.0052683727730028895	-9.892597852494019	4.48242101779047e-23	264754.582158567	DRB4	2.1241503411349655e-19	-0.04179188254526064	-0.06244390381543196	0.9492169540405906	0.95 [0.94, 0.96]	TTE_asthma
HC219	0.07302136332655099	0.007556255552708841	9.663696895530972	4.30058053749505e-22	149893.36238475802	DRB5	1.9247578838436283e-18	0.08783162420986032	0.05821110244324166	1.0757535183429234	1.08 [1.06, 1.09]	hypothyroidism/myxoedema
HC648	0.147840468909821	0.0158876033327207	9.305397788056641	1.3349169789203e-20	31865.767653980096	DRB1	5.660074962944516e-17	0.17898017144195358	0.11670076637768843	1.1593279327606554	1.16 [1.12, 1.2]	TTE_insulin-dependent_diabetes_mellitus
HC303	0.158457881206339	0.017254742202176	9.18343950605972	4.17537106653138e-20	27293.479013932403	C	1.681847480215755e-16	0.19227717592260396	0.12463858649007403	1.1717025724870067	1.17 [1.13, 1.21]	malabsorption/coeliac_disease
HC1132	0.142010725008556	0.0154926475068055	9.1663303477456	4.89395461581428e-20	32597.397860815	DRB1	1.877423155415885e-16	0.17237631412189477	0.11164513589521721	1.1525890099977103	1.15 [1.12, 1.19]	TTE_intestinal_malabsorption
HC1159	0.0911662369016337	0.0104977479844668	8.68436135412372	3.8087619854122795e-18	87347.3698935672	DRB3	1.3947060351232176e-14	0.11174182295118862	0.07059065085207877	1.0954510945189129	1.1 [1.07, 1.12]	TTE_psoriasis
HC1212	0.105160827353061	0.012623388478366002	8.3306338494839	8.04106648556084e-17	63617.6773151649	DRB3	2.816484361039925e-13	0.12990266877065837	0.08041898593546364	1.1108892573684634	1.11 [1.08, 1.14]	TTE_other_rheumatoid_arthritis
HC1132	0.12777698624876802	0.0154165405807869	8.28830473212726	1.14873960229851e-16	32640.9009315262	B	3.855954306744563e-13	0.15799340578711035	0.09756056671042569	1.1362995640096614	1.14 [1.1, 1.17]	TTE_intestinal_malabsorption
HC430	0.105813672659859	0.01285583930438	8.23078681636974	1.8598771068410803e-16	61744.55774005281	DRB3	5.993296549329588e-13	0.1310111176964438	0.0806162276232742	1.1116147329924202	1.11 [1.08, 1.14]	rheumatoid_arthritis
