#GBE_ID	GBE_NAME	FIELD	TABLE	BASKET	APP_ID	N	N_GBE	N_NBW	N_AFR	N_EAS	N_SAS	SOURCE	DATE	PATH
HC1576	AD_NSTEMI	NA	NA	NA	24983	7084	4774	309	51	5	195	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1576.phe
HC1575	AD_STEMI	NA	NA	NA	24983	5711	3851	220	23	3	172	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1575.phe
HC117	abdominal_hernia	NA	NA	NA	24983	1069	716	41	8	1	8	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC117.phe
HC232	abnormal_smear_(cervix)	NA	NA	NA	24983	853	569	56	8	2	9	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC232.phe
HC1110	TTE_abscess_of_anal_and_rectal_regions	NA	NA	NA	24983	2972	1968	132	37	5	86	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1110.phe
HC1358	TTE_absent,_scanty_and_rare_menstruation	NA	NA	NA	24983	2455	1608	108	38	7	55	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1358.phe
HC1182	TTE_acne	NA	NA	NA	24983	5802	3833	289	74	10	106	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1182.phe
HC1225	TTE_acquired_deformities_of_fingers_and_toes	NA	NA	NA	24983	20187	13615	963	173	34	182	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1225.phe
HC1090	TTE_acute_appendicitis	NA	NA	NA	24983	4358	2980	190	35	5	37	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1090.phe
HC1018	TTE_acute_bronchitis	NA	NA	NA	24983	5372	3731	241	27	11	58	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1018.phe
HC537	TTE_acute_hepatitis_a	NA	NA	NA	24983	1075	742	66	6	0	10	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC537.phe
HC1005	TTE_acute_laryngitis_and_tracheitis	NA	NA	NA	24983	4564	3147	218	35	7	43	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1005.phe
HC1140	TTE_acute_lymphadenitis	NA	NA	NA	24983	754	531	28	11	0	21	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1140.phe
HC938	TTE_acute_myocardial_infarction	NA	NA	NA	24983	18677	12553	766	116	11	495	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC938.phe
HC1001	TTE_acute_nasopharyngitis_[common_cold]	NA	NA	NA	24983	5403	3686	234	45	6	87	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1001.phe
HC1129	TTE_acute_pancreatitis	NA	NA	NA	24983	3606	2442	161	27	2	59	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1129.phe
HC1003	TTE_acute_pharyngitis	NA	NA	NA	24983	23798	16045	966	211	46	530	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1003.phe
HC1301	TTE_acute_renal_failure	NA	NA	NA	24983	9513	6259	411	165	10	192	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1301.phe
HC1002	TTE_acute_sinusitis	NA	NA	NA	24983	24561	17020	1059	139	30	325	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1002.phe
HC1004	TTE_acute_tonsillitis	NA	NA	NA	24983	16458	11155	766	155	25	211	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1004.phe
HC1294	TTE_acute_tubulo-interstitial_nephritis	NA	NA	NA	24983	1466	1019	66	7	3	22	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1294.phe
HC1007	TTE_acute_upper_respiratory_infections_of_multiple_and_unspecified_sites	NA	NA	NA	24983	51927	34287	2375	606	118	1435	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1007.phe
HC626	TTE_agranulocytosis	NA	NA	NA	24983	5380	3553	292	67	10	59	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC626.phe
HC1117	TTE_alcoholic_liver_disease	NA	NA	NA	24983	1658	1088	118	13	3	24	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1117.phe
HC1583	AD_all_cause_dementia	NA	NA	NA	24983	2732	1777	141	45	1	34	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1583.phe
HC1589	AD_all_cause_parkinsonism	NA	NA	NA	24983	2268	1549	101	13	4	26	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1589.phe
HC1151	TTE_allergic_contact_dermatitis	NA	NA	NA	24983	894	592	36	6	2	24	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1151.phe
HC366	allergy/hypersensitivity/anaphylaxis	NA	NA	NA	24983	3730	2593	182	21	4	40	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC366.phe
HC77	allergy_or_anaphylactic_reaction_to_drug	NA	NA	NA	24983	5464	3877	240	47	12	49	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC77.phe
HC234	allergy_or_anaphylactic_reaction_to_food	NA	NA	NA	24983	2662	1756	158	33	5	30	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC234.phe
HC1176	TTE_alopecia_areata	NA	NA	NA	24983	913	563	39	22	6	43	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1176.phe
HC807	TTE_alzheimer's_disease	NA	NA	NA	24983	1125	754	47	11	0	13	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC807.phe
HC125	anaemia	NA	NA	NA	24983	31106	19801	1437	687	56	899	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC125.phe
HC619	TTE_anaemia_in_chronic_diseases_classified_elsewhere	NA	NA	NA	24983	1167	767	53	29	1	19	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC619.phe
HC133	anal_fissure	NA	NA	NA	24983	4609	2967	204	77	9	175	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC133.phe
HC937	TTE_angina_pectoris	NA	NA	NA	24983	31061	20578	1336	275	32	883	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC937.phe
HC1242	TTE_ankylosing_spondylitis	NA	NA	NA	24983	1886	1293	80	5	1	15	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1242.phe
HC361	anorexia/bulimia/other_eating_disorder	NA	NA	NA	24983	1691	1121	77	12	2	24	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC361.phe
HC1405	TTE_antepartum_haemorrhage,_not_elsewhere_classified	NA	NA	NA	24983	837	509	58	25	1	19	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1405.phe
HC135	anxiety/panic_attacks	NA	NA	NA	24983	8042	5559	376	39	4	43	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC135.phe
HC980	TTE_aortic_aneurysm_and_dissection	NA	NA	NA	24983	2837	1986	115	19	2	18	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC980.phe
HC184	aortic_aneurysm_rupture	NA	NA	NA	24983	2141	1494	92	13	1	16	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC184.phe
HC52	aortic_dissection	NA	NA	NA	24983	2341	1626	102	17	2	17	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC52.phe
HC259	aortic_stenosis	NA	NA	NA	24983	3113	2135	168	12	2	42	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC259.phe
HC79	appendicitis	NA	NA	NA	24983	9609	6404	552	87	10	103	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC79.phe
HC983	TTE_arterial_embolism_and_thrombosis	NA	NA	NA	24983	1502	995	79	9	0	17	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC983.phe
HC78	arthritis_(nos)	NA	NA	NA	24983	30369	20199	1244	407	24	540	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC78.phe
HC1223	TTE_arthrosis_of_first_carpometacarpal_joint	NA	NA	NA	24983	2053	1392	91	8	4	15	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1223.phe
HC1036	TTE_asthma	NA	NA	NA	24983	67892	45273	3237	851	118	1205	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1036.phe
HC979	TTE_atherosclerosis	NA	NA	NA	24983	2186	1481	88	11	2	39	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC979.phe
HC1148	TTE_atopic_dermatitis	NA	NA	NA	24983	13823	9320	640	110	44	268	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1148.phe
HC964	TTE_atrial_fibrillation_and_flutter	NA	NA	NA	24983	24708	17231	1090	136	16	205	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC964.phe
HC960	TTE_atrioventricular_and_left_bundle-branch_block	NA	NA	NA	24983	6568	4459	280	65	1	125	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC960.phe
HC1198	TTE_atrophic_disorders_of_skin	NA	NA	NA	24983	5406	3636	243	46	6	67	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1198.phe
HC7	back_pain	NA	NA	NA	24983	16012	10264	788	301	24	399	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC7.phe
HC237	back_problem	NA	NA	NA	24983	9019	6040	412	102	14	128	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC237.phe
HC486	TTE_bacterial_infection_of_unspecified_site	NA	NA	NA	24983	1720	1106	79	19	4	19	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC486.phe
HC1014	TTE_bacterial_pneumonia,_not_elsewhere_classified	NA	NA	NA	24983	1025	672	53	14	1	22	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1014.phe
HC58	benign_breast_lump	NA	NA	NA	24983	3883	2527	214	79	9	63	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC58.phe
HC1334	TTE_benign_mammary_dysplasia	NA	NA	NA	24983	12201	8325	601	99	23	94	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1334.phe
HC44	bile_duct_obstruction/ascending_cholangitis	NA	NA	NA	24983	1922	1312	85	14	3	32	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC44.phe
HC738	TTE_bipolar_affective_disorder	NA	NA	NA	24983	1705	1083	103	23	0	22	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC738.phe
cancer1035	bladder_cancer	NA	NA	NA	24983	3328	2323	156	12	1	28	NA	2020-03-31	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/cancer/v2_2020/phe/cancer1035.phe
HC395	bladder_problem_(not_cancer)	NA	NA	NA	24983	3192	2185	135	21	3	35	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC395.phe
HC351	blepharitis_/_eyelid_infection	NA	NA	NA	24983	1072	707	50	11	0	16	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC351.phe
HC895	TTE_blindness_and_low_vision	NA	NA	NA	24983	2710	1697	137	46	3	91	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC895.phe
HC347	blistering/desquamating_skin_disorder	NA	NA	NA	24983	826	544	45	10	0	12	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC347.phe
